# Global Forecast System (GFS)
# Provider;National Centers for Environmental Prediction (NCEP)
# More information at;https://www.emc.ncep.noaa.gov/emc/pages/numerical_forecast_systems/gfs/documentation.php
# gfs update info;date 2022-05-16 - cycle 0
# Site latitude (positive means North);14.115
# Site longitude (positive means East);100.621
# Site altitude (m);not available
# Date beginning;2022-03-01
# Date end;2022-05-19
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface downward short-wave irradiation (broadband)

# GFS meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2022-03-01;01:00;301.78;61.78;1011.48;1.34;170.07;0.007426;0.000000;0.000000;147.8991
2022-03-01;02:00;303.75;53.74;1011.93;1.45;155.47;0.000000;0.000000;0.000000;411.8076
2022-03-01;03:00;305.72;45.69;1012.39;1.64;143.58;0.000000;0.000000;0.000000;620.5656
2022-03-01;04:00;306.86;41.42;1011.37;1.82;128.20;0.000000;0.000000;0.000000;798.0045
2022-03-01;05:00;308.01;37.15;1010.35;2.10;116.21;0.000000;0.000000;0.000000;928.1493
2022-03-01;06:00;309.16;32.87;1009.33;2.45;107.33;0.000000;0.000000;0.000000;957.7593
2022-03-01;07:00;309.29;31.47;1008.36;2.23;105.08;0.000000;0.000000;0.000000;919.8306
2022-03-01;08:00;309.41;30.06;1007.38;2.02;102.36;0.000000;0.000000;0.000000;817.7193
2022-03-01;09:00;309.54;28.65;1006.40;1.81;99.00;0.000000;0.000000;0.000000;628.3167
2022-03-01;10:00;308.38;31.42;1006.84;1.31;125.17;0.000000;0.000000;0.000000;412.6230
2022-03-01;11:00;307.22;34.18;1007.28;1.28;163.90;0.000000;0.000000;0.000000;189.6862
2022-03-01;12:00;306.06;36.95;1007.73;1.74;192.07;0.000000;0.000000;0.000000;10.9334
2022-03-01;13:00;304.94;43.06;1008.60;2.36;196.39;0.000000;0.000000;0.000000;0.0000
2022-03-01;14:00;303.83;49.16;1009.48;2.99;198.90;0.000000;0.000000;0.000000;0.0000
2022-03-01;15:00;302.72;55.27;1010.35;3.62;200.53;0.000000;0.000000;0.000000;0.0000
2022-03-01;16:00;302.32;58.31;1010.23;3.38;199.06;0.000000;0.000000;0.000000;0.0000
2022-03-01;17:00;301.92;61.34;1010.10;3.14;197.35;0.000000;0.000000;0.000000;0.0000
2022-03-01;18:00;301.52;64.38;1009.97;2.91;195.37;0.000000;0.000000;0.000000;0.0000
2022-03-01;19:00;301.15;66.80;1009.72;2.60;198.40;0.000000;0.000000;0.000000;0.0000
2022-03-01;20:00;300.78;69.23;1009.47;2.30;202.24;0.000000;0.000000;0.000000;0.0000
2022-03-01;21:00;300.42;71.66;1009.22;2.01;207.21;0.042129;0.000000;0.000000;0.0000
2022-03-01;22:00;300.25;72.76;1009.78;1.64;208.92;0.084259;0.000000;0.000000;0.0000
2022-03-01;23:00;300.08;73.86;1010.34;1.28;211.61;0.126388;0.000000;0.000000;0.0000
2022-03-01;24:00;299.92;74.96;1010.90;0.92;216.44;0.090561;0.000000;0.000000;10.1649
2022-03-02;01:00;301.84;66.42;1011.41;0.80;190.59;0.054733;0.000000;0.000000;169.9301
2022-03-02;02:00;303.76;57.88;1011.93;0.86;162.94;0.018906;0.000000;0.000000;413.9757
2022-03-02;03:00;305.69;49.34;1012.45;1.09;143.07;0.012604;0.000000;0.000000;612.8916
2022-03-02;04:00;306.81;44.81;1011.47;1.48;145.05;0.006302;0.000000;0.000000;776.6565
2022-03-02;05:00;307.92;40.27;1010.50;1.88;146.19;0.000000;0.000000;0.000000;891.5466
2022-03-02;06:00;309.04;35.74;1009.52;2.29;146.93;0.003683;0.000000;0.000000;848.1840
2022-03-02;07:00;308.87;35.74;1008.51;2.64;159.14;0.007366;0.000000;0.000000;745.1256
2022-03-02;08:00;308.69;35.75;1007.49;3.08;168.15;0.011050;0.000000;0.000000;600.0633
2022-03-02;09:00;308.52;35.75;1006.48;3.58;174.78;0.007366;0.000000;0.000000;485.0070
2022-03-02;10:00;307.36;39.66;1007.00;3.51;184.45;0.003683;0.000000;0.000000;335.7561
2022-03-02;11:00;306.19;43.57;1007.53;3.53;194.28;0.000000;0.000000;0.000000;162.5765
2022-03-02;12:00;305.02;47.48;1008.05;3.66;203.70;0.000000;0.000000;0.000000;8.9863
2022-03-02;13:00;304.23;51.53;1008.85;3.47;203.29;0.000000;0.000000;0.000000;0.0000
