Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
1/1/2021,1:00,288.18,74.93,1016.05,3.92,28.69,0.000008,0,0,140.5525
1/1/2021,2:00,290.57,62.59,1016.72,5.48,46.78,0.000003,0,0,364.5387
1/1/2021,3:00,293.23,54.18,1016.75,5.84,51.48,0.000001,0,0,566.1215
1/1/2021,4:00,295.63,48.38,1016.18,5.86,51.22,0,0,0,720.3045
1/1/2021,5:00,297.49,44.53,1015.09,5.83,50.93,0,0,0,810.1395
1/1/2021,6:00,298.87,42.13,1013.75,5.71,51.09,0,0,0,833.7167
1/1/2021,7:00,299.69,40.96,1012.5,5.6,51.48,0,0,0,776.0732
1/1/2021,8:00,299.96,40.78,1011.62,5.52,51.68,0,0,0,651.2688
1/1/2021,9:00,299.68,41.44,1011.26,5.47,51.97,0,0,0,468.5753
1/1/2021,10:00,298.6,45.46,1011.48,5,51.31,0,0,0,255.2896
1/1/2021,11:00,295.93,59.66,1012.08,3.32,49.51,0,0,0,57.9939
1/1/2021,12:00,293.41,69.88,1012.94,3.11,48.82,0,0,0,0
1/1/2021,13:00,292.62,72.14,1013.9,3.09,48.81,0,0,0,0
1/1/2021,14:00,291.88,73.9,1014.44,3.03,48.13,0,0,0,0
1/1/2021,15:00,291.21,75.08,1014.59,3.01,47.25,0,0,0,0
1/1/2021,16:00,290.63,76.01,1014.5,3.02,47.64,0,0,0,0
1/1/2021,17:00,290.12,76.95,1014.31,3.06,48.79,0,0,0,0
1/1/2021,18:00,289.63,78.01,1014.03,3.16,49.27,0,0,0,0
1/1/2021,19:00,289.11,79.52,1013.43,3.22,50.16,0,0,0,0
1/1/2021,20:00,288.52,81.48,1012.95,3.14,51.48,0,0,0,0
1/1/2021,21:00,287.92,83.4,1012.76,3,51.37,0,0,0,0
1/1/2021,22:00,287.4,84.62,1012.92,2.91,49.68,0,0,0,0
1/1/2021,23:00,286.97,85.42,1013.28,2.79,46.55,0,0,0,0
1/1/2021,0:00,286.67,85.35,1014,2.75,43.31,0,0,0,4.6911
2/1/2021,1:00,288.52,74.41,1014.87,3.65,40.24,0,0,0,136.4219
2/1/2021,2:00,291.23,61.44,1015.63,4.78,50.12,0,0,0,360.626
2/1/2021,3:00,294.23,52.29,1015.9,5.06,53.46,0,0,0,568.053
2/1/2021,4:00,296.75,46.34,1015.44,4.81,49.04,0,0,0,723.6593
2/1/2021,5:00,298.64,42.2,1014.3,4.7,42.16,0,0,0,814.8228
2/1/2021,6:00,299.92,39.73,1012.84,4.63,37.57,0,0,0,833.4116
2/1/2021,7:00,300.63,38.72,1011.53,4.53,37.1,0,0,0,780.4415
2/1/2021,8:00,300.83,38.7,1010.72,4.42,39.19,0,0,0,657.513
2/1/2021,9:00,300.52,39.72,1010.41,4.37,42.13,0,0,0,477.0003
2/1/2021,10:00,299.47,43.92,1010.62,4.05,44.37,0,0,0,264.6409
2/1/2021,11:00,296.8,60.05,1011.18,2.72,46.04,0,0,0,59.0602
2/1/2021,12:00,294.35,70.76,1011.87,2.73,47.62,0,0,0,0
2/1/2021,13:00,293.68,73.03,1012.53,2.73,49.17,0,0,0,0
2/1/2021,14:00,293.07,75.33,1012.9,2.66,50.15,0,0,0,0
2/1/2021,15:00,292.52,77.29,1013.03,2.56,50.6,0,0,0,0
2/1/2021,16:00,292,78.72,1012.98,2.5,48.33,0,0,0,0
2/1/2021,17:00,291.49,79.63,1012.58,2.47,42.3,0,0,0,0
2/1/2021,18:00,291,79.98,1012,2.49,35.25,0,0,0,0
2/1/2021,19:00,290.55,79.82,1011.31,2.59,29.66,0,0,0,0
2/1/2021,20:00,290.15,79.87,1010.79,2.79,27.55,0,0,0,0
2/1/2021,21:00,289.74,80.68,1010.74,2.93,29.02,0,0,0,0
2/1/2021,22:00,289.4,82.01,1011.07,2.89,31.82,0,0,0,0
2/1/2021,23:00,289.16,83.27,1011.64,2.8,35.3,0,0,0,0
2/1/2021,0:00,289,84.25,1012.5,2.73,38.67,0,0,0,4.786
3/1/2021,1:00,290.82,74.95,1013.31,3.67,39.31,0,0,0,139.0571
3/1/2021,2:00,293.7,63.35,1013.79,4.28,46.36,0,0,0,361.3465
3/1/2021,3:00,296.91,53.6,1013.68,4.36,44.43,0,0,0,566.2522
3/1/2021,4:00,299.65,45.87,1013.04,4.17,35.53,0,0,0,722.4138
3/1/2021,5:00,301.6,40.72,1011.99,4.04,31.16,0,0,0,815.597
3/1/2021,6:00,302.76,38.59,1010.74,3.9,32.63,0,0,0,835.4407
3/1/2021,7:00,303.37,38.1,1009.57,3.79,36.94,0,0,0,781.1478
3/1/2021,8:00,303.54,38.59,1008.86,3.78,42.6,0,0,0,658.1771
3/1/2021,9:00,303.12,40.45,1008.68,3.88,48.79,0,0,0,475.0854
3/1/2021,10:00,301.92,45.77,1008.9,3.7,52.54,0.000002,0,0,253.4197
3/1/2021,11:00,299.04,62.61,1009.68,2.59,54.16,0.000015,0,0,53.9405
3/1/2021,12:00,296.71,71.59,1010.53,2.72,55.8,0.000125,0,0,0
3/1/2021,13:00,296.06,73.8,1011.3,2.74,57.84,0.000463,0,0,0
3/1/2021,14:00,295.44,76.35,1011.75,2.64,57.77,0.000996,0,0,0
3/1/2021,15:00,294.86,78.55,1011.93,2.51,54.25,0.00099,0,0,0
3/1/2021,16:00,294.27,80.04,1011.84,2.46,47.01,0.00009,0,0,0
3/1/2021,17:00,293.7,80.78,1011.52,2.52,39.22,0.000001,0,0,0
3/1/2021,18:00,293.21,80.77,1011.04,2.81,35.04,0,0,0,0
3/1/2021,19:00,292.82,81,1010.46,3.27,34.93,0,0,0,0
3/1/2021,20:00,292.44,82.15,1010.01,3.59,37.61,0,0,0,0
3/1/2021,21:00,292.05,83.94,1009.85,3.57,40.99,0,0,0,0
3/1/2021,22:00,291.73,85.6,1010.16,3.26,43.14,0.000001,0,0,0
3/1/2021,23:00,291.5,86.46,1010.73,3,43.63,0.000007,0,0,0
3/1/2021,0:00,291.34,86.59,1011.72,2.84,43.76,0.000025,0,0,4.4979
4/1/2021,1:00,292.89,77.45,1012.74,3.92,44.25,0.000052,0,0,127.4624
4/1/2021,2:00,295.21,65.88,1013.69,5.21,54.35,0.000085,0,0,332.0337
4/1/2021,3:00,297.73,57.21,1014.03,5.36,57.05,0.000178,0,0,520.4863
4/1/2021,4:00,299.78,52.08,1013.62,5.04,54.08,0.000133,0,0,620.2931
4/1/2021,5:00,301.4,48.87,1012.58,4.69,50.41,0.000045,0,0,721.3189
4/1/2021,6:00,302.69,46.76,1011.23,4.37,48.12,0.000009,0,0,776.7894
4/1/2021,7:00,303.49,45.74,1009.97,4.22,46.53,0.000004,0,0,755.1381
4/1/2021,8:00,303.73,46.07,1009.16,4.17,44.86,0.000052,0,0,640.3352
4/1/2021,9:00,303.41,47.43,1008.95,4.12,42.93,0.000053,0,0,458.9229
4/1/2021,10:00,302.41,51.7,1009.29,3.87,42.36,0.000045,0,0,248.1962
4/1/2021,11:00,299.97,66.05,1009.92,2.63,42.36,0.000021,0,0,54.9715
4/1/2021,12:00,297.64,75.68,1010.68,2.64,42.53,0.000001,0,0,0
4/1/2021,13:00,296.96,77.68,1011.39,2.7,43.57,0,0,0,0
4/1/2021,14:00,296.36,79.34,1011.84,2.68,41.97,0,0,0,0
4/1/2021,15:00,295.81,80.44,1011.91,2.66,37.53,0,0,0,0
4/1/2021,16:00,295.36,80.7,1011.7,2.75,33.77,0,0,0,0
4/1/2021,17:00,294.99,80.4,1011.42,2.98,33.21,0,0,0,0
4/1/2021,18:00,294.66,80.24,1011.05,3.31,35.29,0,0,0,0
4/1/2021,19:00,294.29,80.84,1010.51,3.57,38.44,0,0,0,0
4/1/2021,20:00,293.79,82.95,1010.04,3.36,40.25,0,0,0,0
4/1/2021,21:00,293.29,85.24,1009.86,3.1,41.43,0,0,0,0
4/1/2021,22:00,292.89,87.19,1009.98,2.72,41.78,0.000001,0,0,0
4/1/2021,23:00,292.58,88.7,1010.5,2.43,40.79,0.000001,0,0,0
4/1/2021,0:00,292.42,89.41,1011.27,2.29,38.85,0.000001,0,0,5.0014
5/1/2021,1:00,294.24,80.03,1012.19,3.1,35.91,0.000001,0,0,137.9462
5/1/2021,2:00,296.91,67.04,1012.97,3.87,49.75,0.000001,0,0,350.4002
5/1/2021,3:00,299.78,56.52,1013.16,4.47,53.35,0.000001,0,0,553.7929
5/1/2021,4:00,302.17,50.23,1012.69,4.52,49.09,0.000002,0,0,707.4727
5/1/2021,5:00,303.8,47.25,1011.77,4.21,46.9,0.000003,0,0,800.1943
5/1/2021,6:00,304.93,45.39,1010.51,3.89,49.01,0.000007,0,0,818.6614
5/1/2021,7:00,305.5,44.77,1009.36,3.7,53.84,0.000295,0,0,753.6978
5/1/2021,8:00,305.4,45.59,1008.63,3.62,60.18,0.003866,0,0,595.5687
5/1/2021,9:00,304.75,47.78,1008.43,3.57,66.9,0.010191,0,0,390.7733
5/1/2021,10:00,303.6,52.62,1008.79,3.33,72.61,0.00701,0,0,207.1468
5/1/2021,11:00,301.3,66.91,1009.34,2.32,77.03,0.002739,0,0,48.2123
5/1/2021,12:00,299.24,76.01,1009.97,2.33,79.92,0.001451,0,0,0
5/1/2021,13:00,298.62,78,1010.63,2.31,80.66,0.000932,0,0,0
5/1/2021,14:00,298.11,80,1011.11,2.2,79.23,0.000701,0,0,0
5/1/2021,15:00,297.67,81.64,1011.31,2.02,73.84,0.000648,0,0,0
