,date,time,temperature,humidity
0,2021-02-01,00:00:00,26.0,69.16
1,2021-02-01,01:00:00,24.1,87.29
2,2021-02-01,02:00:00,24.9,74.19
3,2021-02-01,03:00:00,25.0,73.4
4,2021-02-01,04:00:00,22.9,92.69
5,2021-02-01,05:00:00,24.0,77.92
6,2021-02-01,06:00:00,23.9,78.34
7,2021-02-01,07:00:00,22.2,93.81
8,2021-02-01,08:00:00,25.0,73.4
9,2021-02-01,09:00:00,27.0,61.61
10,2021-02-01,10:00:00,29.2,57.16
11,2021-02-01,11:00:00,30.9,46.14
12,2021-02-01,12:00:00,31.9,43.59
13,2021-02-01,13:00:00,34.1,50.16
14,2021-02-01,14:00:00,33.0,36.32
15,2021-02-01,15:00:00,33.0,36.32
16,2021-02-01,16:00:00,34.1,50.66
17,2021-02-01,17:00:00,32.0,38.65
18,2021-02-01,18:00:00,31.9,38.62
19,2021-02-01,19:00:00,29.7,66.55
20,2021-02-01,20:00:00,29.0,48.62
21,2021-02-01,21:00:00,28.0,54.58
22,2021-02-01,22:00:00,27.1,73.03
23,2021-02-01,23:00:00,26.9,66.63
24,2021-02-02,00:00:00,26.9,67.0
25,2021-02-02,01:00:00,25.1,83.17
26,2021-02-02,02:00:00,25.0,70.12
27,2021-02-02,03:00:00,25.0,73.8
28,2021-02-02,04:00:00,23.6,88.41
29,2021-02-02,05:00:00,24.9,75.01
30,2021-02-02,06:00:00,24.0,83.79
31,2021-02-02,07:00:00,22.6,94.48
32,2021-02-02,08:00:00,25.1,83.91
33,2021-02-02,09:00:00,27.1,74.15
34,2021-02-02,10:00:00,30.1,58.48
35,2021-02-02,11:00:00,31.0,51.44
36,2021-02-02,12:00:00,31.1,45.68
37,2021-02-02,13:00:00,34.0,48.05
38,2021-02-02,14:00:00,33.0,38.49
39,2021-02-02,15:00:00,34.0,32.03
40,2021-02-02,16:00:00,36.0,42.43
41,2021-02-02,17:00:00,33.1,33.71
42,2021-02-02,18:00:00,32.9,35.89
43,2021-02-02,19:00:00,31.0,58.88
44,2021-02-02,20:00:00,30.9,40.88
45,2021-02-02,21:00:00,29.9,49.69
46,2021-02-02,22:00:00,27.2,75.62
47,2021-02-02,23:00:00,27.9,56.41
48,2021-02-03,00:00:00,26.9,67.0
49,2021-02-03,01:00:00,26.1,81.43
50,2021-02-03,02:00:00,25.9,79.91
51,2021-02-03,03:00:00,25.9,84.0
52,2021-02-03,04:00:00,25.0,85.95
53,2021-02-03,05:00:00,24.9,83.89
54,2021-02-03,06:00:00,24.1,88.13
55,2021-02-03,07:00:00,22.7,95.02
56,2021-02-03,08:00:00,24.2,82.91
57,2021-02-03,09:00:00,27.1,65.22
58,2021-02-03,10:00:00,30.1,56.71
59,2021-02-03,11:00:00,30.0,51.47
60,2021-02-03,12:00:00,31.1,45.68
61,2021-02-03,13:00:00,33.6,49.43
62,2021-02-03,14:00:00,33.0,38.27
63,2021-02-03,15:00:00,33.1,35.94
64,2021-02-03,16:00:00,34.8,47.24
65,2021-02-03,17:00:00,33.0,36.12
66,2021-02-03,18:00:00,33.0,38.27
67,2021-02-03,19:00:00,30.6,63.2
68,2021-02-03,20:00:00,29.8,52.87
69,2021-02-03,21:00:00,29.7,50.75
70,2021-02-03,22:00:00,26.7,78.44
71,2021-02-03,23:00:00,26.0,74.78
72,2021-02-04,00:00:00,25.9,79.05
73,2021-02-04,01:00:00,25.1,89.1
74,2021-02-04,02:00:00,25.0,83.9
75,2021-02-04,03:00:00,25.0,84.36
76,2021-02-04,04:00:00,23.7,96.24
77,2021-02-04,05:00:00,24.0,89.56
78,2021-02-04,06:00:00,24.0,89.56
79,2021-02-04,07:00:00,22.6,97.45
80,2021-02-04,08:00:00,24.1,92.15
81,2021-02-04,09:00:00,27.0,57.23
82,2021-02-04,10:00:00,28.0,58.4
83,2021-02-04,11:00:00,28.1,47.3
84,2021-02-04,12:00:00,30.0,42.59
85,2021-02-04,13:00:00,32.1,48.14
86,2021-02-04,14:00:00,31.0,42.86
87,2021-02-04,15:00:00,31.1,42.41
88,2021-02-04,16:00:00,32.8,50.71
89,2021-02-04,17:00:00,32.1,37.59
90,2021-02-04,18:00:00,30.2,39.54
91,2021-02-04,19:00:00,29.2,67.25
92,2021-02-04,20:00:00,29.0,45.37
93,2021-02-04,21:00:00,27.2,53.47
94,2021-02-04,22:00:00,26.2,79.23
95,2021-02-04,23:00:00,26.1,64.3
96,2021-02-05,00:00:00,26.0,64.99
97,2021-02-05,01:00:00,23.9,88.2
98,2021-02-05,02:00:00,24.0,73.23
99,2021-02-05,03:00:00,24.0,72.82
100,2021-02-05,04:00:00,21.9,92.63
101,2021-02-05,05:00:00,22.9,77.76
102,2021-02-05,06:00:00,22.2,76.37
103,2021-02-05,07:00:00,21.1,94.25
104,2021-02-05,08:00:00,25.0,57.07
105,2021-02-05,09:00:00,26.1,50.17
106,2021-02-05,10:00:00,29.0,57.41
107,2021-02-05,11:00:00,30.0,42.83
108,2021-02-05,12:00:00,31.9,34.35
109,2021-02-05,13:00:00,34.0,40.13
110,2021-02-05,14:00:00,32.9,31.91
111,2021-02-05,15:00:00,33.9,30.35
112,2021-02-05,16:00:00,35.0,37.92
113,2021-02-05,17:00:00,32.9,30.43
114,2021-02-05,18:00:00,31.9,36.23
115,2021-02-05,19:00:00,29.7,63.81
116,2021-02-05,20:00:00,29.8,43.27
117,2021-02-05,21:00:00,28.8,48.85
118,2021-02-05,22:00:00,25.6,75.01
119,2021-02-05,23:00:00,27.1,57.25
120,2021-02-06,00:00:00,26.1,60.39
121,2021-02-06,01:00:00,24.6,78.71
122,2021-02-06,02:00:00,25.1,68.23
123,2021-02-06,03:00:00,24.0,72.82
124,2021-02-06,04:00:00,22.6,90.92
125,2021-02-06,05:00:00,23.9,64.91
126,2021-02-06,06:00:00,24.0,64.93
127,2021-02-06,07:00:00,21.6,96.48
128,2021-02-06,08:00:00,25.0,68.97
129,2021-02-06,09:00:00,27.0,54.33
130,2021-02-06,10:00:00,30.0,52.65
131,2021-02-06,11:00:00,30.9,40.88
132,2021-02-06,12:00:00,31.0,40.68
133,2021-02-06,13:00:00,34.1,45.75
134,2021-02-06,14:00:00,32.9,34.43
135,2021-02-06,15:00:00,33.0,38.49
136,2021-02-06,16:00:00,34.6,45.85
137,2021-02-06,17:00:00,32.1,38.24
138,2021-02-06,18:00:00,31.1,42.89
139,2021-02-06,19:00:00,29.7,63.48
140,2021-02-06,20:00:00,29.0,48.62
141,2021-02-06,21:00:00,28.0,54.89
142,2021-02-06,22:00:00,26.2,78.18
143,2021-02-06,23:00:00,26.0,61.73
144,2021-02-07,00:00:00,26.9,59.15
145,2021-02-07,01:00:00,24.2,85.59
146,2021-02-07,02:00:00,25.0,74.61
147,2021-02-07,03:00:00,24.0,79.65
148,2021-02-07,04:00:00,23.9,88.49
149,2021-02-07,05:00:00,24.9,79.78
150,2021-02-07,06:00:00,23.9,84.24
151,2021-02-07,07:00:00,22.7,93.91
152,2021-02-07,08:00:00,25.9,79.48
153,2021-02-07,09:00:00,28.0,62.52
154,2021-02-07,10:00:00,29.5,61.28
155,2021-02-07,11:00:00,31.0,48.88
156,2021-02-07,12:00:00,32.0,45.92
157,2021-02-07,13:00:00,34.0,48.12
158,2021-02-07,14:00:00,33.9,38.74
159,2021-02-07,15:00:00,34.0,36.19
160,2021-02-07,16:00:00,35.3,42.86
161,2021-02-07,17:00:00,32.9,41.89
162,2021-02-07,18:00:00,32.7,39.95
163,2021-02-07,19:00:00,30.5,61.62
164,2021-02-07,20:00:00,28.9,66.67
165,2021-02-07,21:00:00,27.9,71.05
166,2021-02-07,22:00:00,28.0,77.02
167,2021-02-07,23:00:00,27.0,79.63
168,2021-02-08,00:00:00,27.0,84.12
169,2021-02-08,01:00:00,25.6,89.18
170,2021-02-08,02:00:00,26.0,89.23
171,2021-02-08,03:00:00,25.9,89.7
172,2021-02-08,04:00:00,24.2,96.89
173,2021-02-08,05:00:00,25.0,94.69
174,2021-02-08,06:00:00,25.1,93.69
175,2021-02-08,07:00:00,24.6,97.59
176,2021-02-08,08:00:00,25.2,98.95
177,2021-02-08,09:00:00,27.1,88.38
178,2021-02-08,10:00:00,28.5,84.28
179,2021-02-08,11:00:00,30.1,69.56
180,2021-02-08,12:00:00,31.0,62.5
181,2021-02-08,13:00:00,32.0,65.68
182,2021-02-08,14:00:00,32.9,55.78
183,2021-02-08,15:00:00,32.9,52.78
184,2021-02-08,16:00:00,31.0,65.45
185,2021-02-08,17:00:00,31.9,55.84
186,2021-02-08,18:00:00,30.8,59.41
187,2021-02-08,19:00:00,29.5,74.41
188,2021-02-08,20:00:00,28.0,74.7
189,2021-02-08,21:00:00,28.0,78.92
190,2021-02-08,22:00:00,28.1,83.71
191,2021-02-08,23:00:00,28.0,78.92
192,2021-02-09,00:00:00,28.0,78.92
193,2021-02-09,01:00:00,26.6,91.81
194,2021-02-09,02:00:00,27.9,79.33
195,2021-02-09,03:00:00,27.0,79.2
196,2021-02-09,04:00:00,25.1,95.66
197,2021-02-09,05:00:00,27.0,84.12
198,2021-02-09,06:00:00,27.0,83.68
199,2021-02-09,07:00:00,25.2,96.85
200,2021-02-09,08:00:00,27.0,84.57
201,2021-02-09,09:00:00,28.9,74.45
202,2021-02-09,10:00:00,28.9,78.89
203,2021-02-09,11:00:00,28.2,77.69
204,2021-02-09,12:00:00,30.1,65.84
205,2021-02-09,13:00:00,30.5,66.75
206,2021-02-09,14:00:00,28.6,68.07
207,2021-02-09,15:00:00,27.8,75.48
