,date,time,temp,rh
0,1/1/2021,0,21,48
1,1/1/2021,100,20,49
2,1/1/2021,200,19,51
3,1/1/2021,300,19,52
4,1/1/2021,400,18,54
5,1/1/2021,500,18,56
6,1/1/2021,600,17,58
7,1/1/2021,700,18,57
8,1/1/2021,800,19,55
9,1/1/2021,900,20,54
10,1/1/2021,1000,21,51
11,1/1/2021,1100,23,48
12,1/1/2021,1200,25,44
13,1/1/2021,1300,25,43
14,1/1/2021,1400,26,42
15,1/1/2021,1500,26,41
16,1/1/2021,1600,25,43
17,1/1/2021,1700,24,44
18,1/1/2021,1800,23,46
19,1/1/2021,1900,23,47
20,1/1/2021,2000,22,48
21,1/1/2021,2100,21,49
22,1/1/2021,2200,21,48
23,1/1/2021,2300,20,48
24,2/1/2021,0,20,48
25,2/1/2021,100,20,49
26,2/1/2021,200,20,50
27,2/1/2021,300,19,51
28,2/1/2021,400,19,52
29,2/1/2021,500,19,54
30,2/1/2021,600,18,56
31,2/1/2021,700,19,55
32,2/1/2021,800,20,54
33,2/1/2021,900,21,54
34,2/1/2021,1000,22,51
35,2/1/2021,1100,24,48
36,2/1/2021,1200,25,46
37,2/1/2021,1300,26,45
38,2/1/2021,1400,27,44
39,2/1/2021,1500,27,43
40,2/1/2021,1600,27,45
41,2/1/2021,1700,26,47
42,2/1/2021,1800,25,50
43,2/1/2021,1900,24,51
44,2/1/2021,2000,23,52
45,2/1/2021,2100,23,53
46,2/1/2021,2200,22,51
47,2/1/2021,2300,22,48
48,3/1/2021,0,22,46
49,3/1/2021,100,21,46
50,3/1/2021,200,21,46
51,3/1/2021,300,21,46
52,3/1/2021,400,20,47
53,3/1/2021,500,20,48
54,3/1/2021,600,19,49
55,3/1/2021,700,21,47
56,3/1/2021,800,22,46
57,3/1/2021,900,24,44
58,3/1/2021,1000,25,42
59,3/1/2021,1100,27,40
60,3/1/2021,1200,29,38
61,3/1/2021,1300,29,38
62,3/1/2021,1400,30,38
63,3/1/2021,1500,31,37
64,3/1/2021,1600,30,40
65,3/1/2021,1700,29,43
66,3/1/2021,1800,28,46
67,3/1/2021,1900,27,47
68,3/1/2021,2000,26,49
69,3/1/2021,2100,25,51
70,3/1/2021,2200,24,52
71,3/1/2021,2300,24,54
72,4/1/2021,0,23,55
73,4/1/2021,100,23,55
74,4/1/2021,200,23,55
75,4/1/2021,300,22,55
76,4/1/2021,400,22,57
77,4/1/2021,500,22,59
78,4/1/2021,600,21,61
79,4/1/2021,700,22,59
80,4/1/2021,800,24,58
81,4/1/2021,900,25,56
82,4/1/2021,1000,26,52
83,4/1/2021,1100,28,49
84,4/1/2021,1200,29,45
85,4/1/2021,1300,30,44
86,4/1/2021,1400,31,42
87,4/1/2021,1500,31,41
88,4/1/2021,1600,30,44
89,4/1/2021,1700,29,46
90,4/1/2021,1800,28,49
91,4/1/2021,1900,28,51
92,4/1/2021,2000,27,53
93,4/1/2021,2100,26,56
94,4/1/2021,2200,25,57
95,4/1/2021,2300,24,58
96,5/1/2021,0,24,60
97,5/1/2021,100,23,60
98,5/1/2021,200,23,61
99,5/1/2021,300,23,62
100,5/1/2021,400,23,62
101,5/1/2021,500,22,61
102,5/1/2021,600,22,61
103,5/1/2021,700,24,58
104,5/1/2021,800,25,55
105,5/1/2021,900,26,51
106,5/1/2021,1000,28,48
107,5/1/2021,1100,29,45
108,5/1/2021,1200,31,41
109,5/1/2021,1300,31,40
110,5/1/2021,1400,32,39
111,5/1/2021,1500,33,38
112,5/1/2021,1600,32,40
113,5/1/2021,1700,31,43
114,5/1/2021,1800,30,45
115,5/1/2021,1900,29,48
116,5/1/2021,2000,28,51
117,5/1/2021,2100,28,53
118,5/1/2021,2200,27,55
119,5/1/2021,2300,27,56
120,6/1/2021,0,26,57
121,6/1/2021,100,26,58
122,6/1/2021,200,26,59
123,6/1/2021,300,25,60
124,6/1/2021,400,25,60
125,6/1/2021,500,25,60
126,6/1/2021,600,25,60
127,6/1/2021,700,26,57
128,6/1/2021,800,27,55
129,6/1/2021,900,28,53
130,6/1/2021,1000,29,50
131,6/1/2021,1100,30,47
132,6/1/2021,1200,32,44
133,6/1/2021,1300,32,44
134,6/1/2021,1400,32,44
135,6/1/2021,1500,32,44
136,6/1/2021,1600,31,45
137,6/1/2021,1700,31,47
138,6/1/2021,1800,30,49
139,6/1/2021,1900,29,50
140,6/1/2021,2000,29,52
141,6/1/2021,2100,28,53
142,6/1/2021,2200,27,54
143,6/1/2021,2300,27,55
144,7/1/2021,0,26,56
145,7/1/2021,100,26,57
146,7/1/2021,200,26,58
147,7/1/2021,300,26,59
148,7/1/2021,400,25,60
149,7/1/2021,500,25,61
150,7/1/2021,600,25,62
151,7/1/2021,700,26,59
152,7/1/2021,800,27,56
153,7/1/2021,900,29,52
154,7/1/2021,1000,30,49
155,7/1/2021,1100,32,45
156,7/1/2021,1200,33,41
157,7/1/2021,1300,33,40
158,7/1/2021,1400,33,40
159,7/1/2021,1500,33,39
160,7/1/2021,1600,33,41
161,7/1/2021,1700,32,43
162,7/1/2021,1800,31,45
163,7/1/2021,1900,30,47
164,7/1/2021,2000,29,49
165,7/1/2021,2100,28,51
166,7/1/2021,2200,28,52
167,7/1/2021,2300,27,54
168,8/1/2021,0,26,56
169,8/1/2021,100,26,57
170,8/1/2021,200,25,58
171,8/1/2021,300,25,60
172,8/1/2021,400,25,61
173,8/1/2021,500,24,63
174,8/1/2021,600,24,65
175,8/1/2021,700,25,62
176,8/1/2021,800,26,60
177,8/1/2021,900,26,57
178,8/1/2021,1000,28,53
179,8/1/2021,1100,29,49
180,8/1/2021,1200,31,46
181,8/1/2021,1300,31,44
182,8/1/2021,1400,32,42
183,8/1/2021,1500,32,41
184,8/1/2021,1600,31,43
185,8/1/2021,1700,30,45
186,8/1/2021,1800,30,48
187,8/1/2021,1900,29,50
188,8/1/2021,2000,28,52
189,8/1/2021,2100,27,54
190,8/1/2021,2200,26,54
191,8/1/2021,2300,25,54
192,9/1/2021,0,24,54
193,9/1/2021,100,23,55
194,9/1/2021,200,22,55
195,9/1/2021,300,21,56
196,9/1/2021,400,21,58
197,9/1/2021,500,20,59
198,9/1/2021,600,20,61
199,9/1/2021,700,20,58
200,9/1/2021,800,21,56
201,9/1/2021,900,22,53
202,9/1/2021,1000,24,50
203,9/1/2021,1100,26,47
204,9/1/2021,1200,27,44
205,9/1/2021,1300,28,43
206,9/1/2021,1400,29,42
207,9/1/2021,1500,30,40
208,9/1/2021,1600,28,42
209,9/1/2021,1700,27,44
210,9/1/2021,1800,26,46
211,9/1/2021,1900,25,48
212,9/1/2021,2000,24,50
213,9/1/2021,2100,23,52
214,9/1/2021,2200,23,52
215,9/1/2021,2300,23,53
216,10/1/2021,0,22,54
217,10/1/2021,100,22,55
218,10/1/2021,200,22,55
219,10/1/2021,300,21,56
220,10/1/2021,400,21,57
221,10/1/2021,500,20,58
222,10/1/2021,600,20,59
223,10/1/2021,700,21,57
224,10/1/2021,800,22,54
225,10/1/2021,900,23,51
226,10/1/2021,1000,25,48
227,10/1/2021,1100,27,44
228,10/1/2021,1200,29,41
229,10/1/2021,1300,30,39
230,10/1/2021,1400,31,38
231,10/1/2021,1500,31,37
232,10/1/2021,1600,31,39
233,10/1/2021,1700,31,42
234,10/1/2021,1800,30,44
235,10/1/2021,1900,29,46
236,10/1/2021,2000,28,49
237,10/1/2021,2100,27,51
238,10/1/2021,2200,25,53
239,10/1/2021,2300,24,55
240,11/1/2021,0,23,56
241,11/1/2021,100,22,58
242,11/1/2021,200,22,59
243,11/1/2021,300,21,60
244,11/1/2021,400,21,61
245,11/1/2021,500,20,62
246,11/1/2021,600,20,63
247,11/1/2021,700,21,60
248,11/1/2021,800,22,57
249,11/1/2021,900,23,54
250,11/1/2021,1000,25,50
251,11/1/2021,1100,26,46
252,11/1/2021,1200,28,42
253,11/1/2021,1300,29,41
254,11/1/2021,1400,29,40
255,11/1/2021,1500,30,38
256,11/1/2021,1600,29,40
257,11/1/2021,1700,29,42
258,11/1/2021,1800,28,44
259,11/1/2021,1900,27,44
260,11/1/2021,2000,25,44
261,11/1/2021,2100,24,44
262,11/1/2021,2200,23,44
263,11/1/2021,2300,21,45
264,12/1/2021,0,20,45
265,12/1/2021,100,19,46
266,12/1/2021,200,18,47
267,12/1/2021,300,17,48
268,12/1/2021,400,16,48
269,12/1/2021,500,16,48
270,12/1/2021,600,15,48
271,12/1/2021,700,16,46
272,12/1/2021,800,17,44
273,12/1/2021,900,18,42
274,12/1/2021,1000,20,40
275,12/1/2021,1100,21,38
276,12/1/2021,1200,23,35
277,12/1/2021,1300,24,35
278,12/1/2021,1400,24,34
279,12/1/2021,1500,25,33
280,12/1/2021,1600,24,33
281,12/1/2021,1700,23,34
282,12/1/2021,1800,22,35
283,12/1/2021,1900,21,36
284,12/1/2021,2000,21,37
285,12/1/2021,2100,20,38
286,12/1/2021,2200,19,38
287,12/1/2021,2300,19,37
288,13/1/2021,0,19,37
289,13/1/2021,100,18,38
290,13/1/2021,200,18,39
291,13/1/2021,300,17,40
292,13/1/2021,400,17,41
293,13/1/2021,500,17,43
294,13/1/2021,600,16,44
295,13/1/2021,700,18,42
296,13/1/2021,800,19,40
297,13/1/2021,900,20,39
298,13/1/2021,1000,22,36
299,13/1/2021,1100,24,33
300,13/1/2021,1200,26,30
301,13/1/2021,1300,26,29
302,13/1/2021,1400,27,29
303,13/1/2021,1500,28,28
304,13/1/2021,1600,27,30
305,13/1/2021,1700,27,32
306,13/1/2021,1800,27,35
307,13/1/2021,1900,26,37
308,13/1/2021,2000,24,39
309,13/1/2021,2100,23,41
310,13/1/2021,2200,22,42
311,13/1/2021,2300,21,43
312,14/1/2021,0,20,44
313,14/1/2021,100,20,46
314,14/1/2021,200,19,47
315,14/1/2021,300,19,49
316,14/1/2021,400,19,51
317,14/1/2021,500,18,52
318,14/1/2021,600,18,54
319,14/1/2021,700,20,51
320,14/1/2021,800,22,47
321,14/1/2021,900,24,44
322,14/1/2021,1000,26,39
323,14/1/2021,1100,28,35
324,14/1/2021,1200,30,31
325,14/1/2021,1300,31,29
326,14/1/2021,1400,31,27
327,14/1/2021,1500,32,26
328,14/1/2021,1600,31,28
329,14/1/2021,1700,30,30
330,14/1/2021,1800,29,32
331,14/1/2021,1900,28,35
332,14/1/2021,2000,27,37
333,14/1/2021,2100,26,40
334,14/1/2021,2200,25,42
335,14/1/2021,2300,24,44
336,15/1/2021,0,23,47
337,15/1/2021,100,22,49
338,15/1/2021,200,22,51
339,15/1/2021,300,21,54
340,15/1/2021,400,21,55
341,15/1/2021,500,20,56
342,15/1/2021,600,20,57
343,15/1/2021,700,22,54
344,15/1/2021,800,23,51
345,15/1/2021,900,24,49
346,15/1/2021,1000,26,44
347,15/1/2021,1100,28,40
348,15/1/2021,1200,30,36
349,15/1/2021,1300,31,34
350,15/1/2021,1400,32,32
351,15/1/2021,1500,33,30
352,15/1/2021,1600,32,32
353,15/1/2021,1700,31,33
354,15/1/2021,1800,31,35
355,15/1/2021,1900,29,38
356,15/1/2021,2000,28,40
357,15/1/2021,2100,26,42
358,15/1/2021,2200,26,47
359,15/1/2021,2300,25,51
360,16/1/2021,0,25,55
361,16/1/2021,100,24,60
362,16/1/2021,200,23,65
363,16/1/2021,300,22,70
364,16/1/2021,400,22,74
365,16/1/2021,500,21,79
366,16/1/2021,600,21,83
367,16/1/2021,700,22,78
368,16/1/2021,800,24,72
369,16/1/2021,900,26,66
370,16/1/2021,1000,27,58
371,16/1/2021,1100,29,50
372,16/1/2021,1200,31,42
373,16/1/2021,1300,32,39
374,16/1/2021,1400,33,35
375,16/1/2021,1500,33,32
376,16/1/2021,1600,33,35
377,16/1/2021,1700,33,37
378,16/1/2021,1800,32,40
379,16/1/2021,1900,31,45
380,16/1/2021,2000,30,50
381,16/1/2021,2100,30,55
382,16/1/2021,2200,28,63
383,16/1/2021,2300,26,71
384,17/1/2021,0,24,78
385,17/1/2021,100,24,82
386,17/1/2021,200,23,86
387,17/1/2021,300,23,90
388,17/1/2021,400,22,91
389,17/1/2021,500,22,92
390,17/1/2021,600,22,93
391,17/1/2021,700,23,84
392,17/1/2021,800,25,76
393,17/1/2021,900,26,67
394,17/1/2021,1000,28,58
395,17/1/2021,1100,29,49
396,17/1/2021,1200,31,40
397,17/1/2021,1300,31,38
398,17/1/2021,1400,32,36
399,17/1/2021,1500,32,33
400,17/1/2021,1600,31,35
401,17/1/2021,1700,30,37
402,17/1/2021,1800,29,39
403,17/1/2021,1900,28,42
404,17/1/2021,2000,27,44
405,17/1/2021,2100,26,47
406,17/1/2021,2200,25,48
407,17/1/2021,2300,24,49
408,18/1/2021,0,23,50
409,18/1/2021,100,22,52
410,18/1/2021,200,21,53
411,18/1/2021,300,20,54
412,18/1/2021,400,20,55
413,18/1/2021,500,19,55
414,18/1/2021,600,19,56
415,18/1/2021,700,20,53
416,18/1/2021,800,21,50
417,18/1/2021,900,22,47
418,18/1/2021,1000,24,43
419,18/1/2021,1100,26,40
420,18/1/2021,1200,27,36
421,18/1/2021,1300,28,35
422,18/1/2021,1400,28,33
423,18/1/2021,1500,29,32
424,18/1/2021,1600,29,34
425,18/1/2021,1700,28,35
426,18/1/2021,1800,28,37
427,18/1/2021,1900,26,38
428,18/1/2021,2000,25,39
429,18/1/2021,2100,24,41
430,18/1/2021,2200,23,42
431,18/1/2021,2300,22,43
432,19/1/2021,0,21,44
433,19/1/2021,100,20,46
434,19/1/2021,200,20,48
435,19/1/2021,300,19,50
436,19/1/2021,400,18,51
437,19/1/2021,500,18,52
438,19/1/2021,600,18,53
439,19/1/2021,700,19,50
440,19/1/2021,800,20,48
441,19/1/2021,900,21,45
442,19/1/2021,1000,23,42
443,19/1/2021,1100,24,38
444,19/1/2021,1200,26,35
445,19/1/2021,1300,27,33
446,19/1/2021,1400,28,31
447,19/1/2021,1500,28,30
448,19/1/2021,1600,28,32
449,19/1/2021,1700,27,35
450,19/1/2021,1800,26,38
451,19/1/2021,1900,25,40
452,19/1/2021,2000,23,43
453,19/1/2021,2100,22,46
454,19/1/2021,2200,22,46
455,19/1/2021,2300,23,45
456,20/1/2021,0,23,45
457,20/1/2021,100,22,47
458,20/1/2021,200,21,49
459,20/1/2021,300,21,50
460,20/1/2021,400,20,52
461,20/1/2021,500,20,53
462,20/1/2021,600,19,55
463,20/1/2021,700,21,51
464,20/1/2021,800,23,47
465,20/1/2021,900,25,43
466,20/1/2021,1000,27,39
467,20/1/2021,1100,29,34
468,20/1/2021,1200,32,29
469,20/1/2021,1300,32,27
470,20/1/2021,1400,33,25
471,20/1/2021,1500,33,24
472,20/1/2021,1600,32,25
473,20/1/2021,1700,31,27
474,20/1/2021,1800,31,29
475,20/1/2021,1900,29,31
476,20/1/2021,2000,28,33
477,20/1/2021,2100,27,35
478,20/1/2021,2200,26,38
479,20/1/2021,2300,25,41
480,21/1/2021,0,24,44
481,21/1/2021,100,23,46
482,21/1/2021,200,23,48
483,21/1/2021,300,22,50
484,21/1/2021,400,22,51
485,21/1/2021,500,21,52
486,21/1/2021,600,21,54
487,21/1/2021,700,23,50
488,21/1/2021,800,25,46
489,21/1/2021,900,26,42
490,21/1/2021,1000,29,38
491,21/1/2021,1100,31,33
492,21/1/2021,1200,33,29
493,21/1/2021,1300,34,27
494,21/1/2021,1400,34,25
495,21/1/2021,1500,35,23
496,21/1/2021,1600,34,25
497,21/1/2021,1700,33,27
498,21/1/2021,1800,32,28
499,21/1/2021,1900,30,30
500,21/1/2021,2000,29,33
501,21/1/2021,2100,28,35
502,21/1/2021,2200,26,38
503,21/1/2021,2300,25,41
504,22/1/2021,0,24,44
505,22/1/2021,100,23,47
506,22/1/2021,200,23,51
507,22/1/2021,300,22,54
508,22/1/2021,400,22,56
509,22/1/2021,500,22,58
510,22/1/2021,600,21,60
511,22/1/2021,700,23,55
512,22/1/2021,800,25,51
513,22/1/2021,900,27,46
514,22/1/2021,1000,29,41
515,22/1/2021,1100,31,36
516,22/1/2021,1200,33,30
517,22/1/2021,1300,33,28
518,22/1/2021,1400,34,26
519,22/1/2021,1500,34,24
520,22/1/2021,1600,33,26
521,22/1/2021,1700,32,28
522,22/1/2021,1800,31,30
523,22/1/2021,1900,29,33
524,22/1/2021,2000,28,36
525,22/1/2021,2100,27,39
526,22/1/2021,2200,26,44
527,22/1/2021,2300,25,49
528,23/1/2021,0,25,54
529,23/1/2021,100,24,59
530,23/1/2021,200,23,63
531,23/1/2021,300,22,68
532,23/1/2021,400,22,71
533,23/1/2021,500,22,73
534,23/1/2021,600,21,76
535,23/1/2021,700,23,71
536,23/1/2021,800,25,65
537,23/1/2021,900,26,60
538,23/1/2021,1000,28,52
539,23/1/2021,1100,30,45
540,23/1/2021,1200,32,38
541,23/1/2021,1300,33,35
542,23/1/2021,1400,34,32
543,23/1/2021,1500,34,29
544,23/1/2021,1600,34,33
545,23/1/2021,1700,33,37
546,23/1/2021,1800,32,41
547,23/1/2021,1900,31,45
548,23/1/2021,2000,30,50
549,23/1/2021,2100,29,55
550,23/1/2021,2200,28,59
551,23/1/2021,2300,27,63
552,24/1/2021,0,26,67
553,24/1/2021,100,25,70
554,24/1/2021,200,24,74
555,24/1/2021,300,23,77
556,24/1/2021,400,23,80
557,24/1/2021,500,22,82
558,24/1/2021,600,22,85
559,24/1/2021,700,24,78
560,24/1/2021,800,26,71
561,24/1/2021,900,27,64
562,24/1/2021,1000,29,57
563,24/1/2021,1100,31,49
564,24/1/2021,1200,32,42
565,24/1/2021,1300,33,39
566,24/1/2021,1400,33,35
567,24/1/2021,1500,34,32
568,24/1/2021,1600,33,37
569,24/1/2021,1700,33,41
570,24/1/2021,1800,32,46
571,24/1/2021,1900,31,52
572,24/1/2021,2000,30,59
573,24/1/2021,2100,29,65
574,24/1/2021,2200,28,69
575,24/1/2021,2300,27,73
576,25/1/2021,0,26,77
577,25/1/2021,100,25,80
578,25/1/2021,200,24,83
579,25/1/2021,300,24,86
580,25/1/2021,400,23,88
581,25/1/2021,500,23,89
582,25/1/2021,600,23,91
583,25/1/2021,700,24,83
584,25/1/2021,800,26,75
585,25/1/2021,900,28,67
586,25/1/2021,1000,29,59
587,25/1/2021,1100,31,51
588,25/1/2021,1200,33,42
589,25/1/2021,1300,33,39
590,25/1/2021,1400,34,35
591,25/1/2021,1500,35,32
592,25/1/2021,1600,34,35
593,25/1/2021,1700,34,37
594,25/1/2021,1800,33,40
595,25/1/2021,1900,32,45
596,25/1/2021,2000,31,50
597,25/1/2021,2100,30,54
598,25/1/2021,2200,29,59
599,25/1/2021,2300,28,64
600,26/1/2021,0,26,69
601,26/1/2021,100,26,73
602,26/1/2021,200,25,77
603,26/1/2021,300,24,81
604,26/1/2021,400,24,84
605,26/1/2021,500,24,86
606,26/1/2021,600,24,89
607,26/1/2021,700,25,81
608,26/1/2021,800,27,73
609,26/1/2021,900,28,65
610,26/1/2021,1000,30,56
611,26/1/2021,1100,32,48
612,26/1/2021,1200,34,39
613,26/1/2021,1300,34,36
614,26/1/2021,1400,35,33
615,26/1/2021,1500,36,30
616,26/1/2021,1600,35,32
617,26/1/2021,1700,35,34
618,26/1/2021,1800,35,37
619,26/1/2021,1900,34,43
620,26/1/2021,2000,33,49
621,26/1/2021,2100,32,55
622,26/1/2021,2200,31,58
623,26/1/2021,2300,30,61
624,27/1/2021,0,28,64
625,27/1/2021,100,27,68
626,27/1/2021,200,27,71
627,27/1/2021,300,26,75
628,27/1/2021,400,25,78
629,27/1/2021,500,25,80
630,27/1/2021,600,25,83
631,27/1/2021,700,26,77
632,27/1/2021,800,27,72
633,27/1/2021,900,29,66
634,27/1/2021,1000,30,59
635,27/1/2021,1100,32,53
636,27/1/2021,1200,33,46
637,27/1/2021,1300,33,44
638,27/1/2021,1400,34,42
639,27/1/2021,1500,34,40
640,27/1/2021,1600,33,42
641,27/1/2021,1700,32,44
642,27/1/2021,1800,31,46
643,27/1/2021,1900,30,51
644,27/1/2021,2000,29,56
645,27/1/2021,2100,28,62
646,27/1/2021,2200,27,64
