date,time,temp,rh
1/1/2021,0:00:00,21,48
1/1/2021,1:00:00,20,49
1/1/2021,2:00:00,19,51
1/1/2021,3:00:00,19,52
1/1/2021,4:00:00,18,54
1/1/2021,5:00:00,18,56
1/1/2021,6:00:00,17,58
1/1/2021,7:00:00,18,57
1/1/2021,8:00:00,19,55
1/1/2021,9:00:00,20,54
1/1/2021,10:00:00,21,51
1/1/2021,11:00:00,23,48
1/1/2021,12:00:00,25,44
1/1/2021,13:00:00,25,43
1/1/2021,14:00:00,26,42
1/1/2021,15:00:00,26,41
1/1/2021,16:00:00,25,43
1/1/2021,17:00:00,24,44
1/1/2021,18:00:00,23,46
1/1/2021,19:00:00,23,47
1/1/2021,20:00:00,22,48
1/1/2021,21:00:00,21,49
1/1/2021,22:00:00,21,48
1/1/2021,23:00:00,20,48
2/1/2021,0:00:00,20,48
2/1/2021,1:00:00,20,49
2/1/2021,2:00:00,20,50
2/1/2021,3:00:00,19,51
2/1/2021,4:00:00,19,52
2/1/2021,5:00:00,19,54
2/1/2021,6:00:00,18,56
2/1/2021,7:00:00,19,55
2/1/2021,8:00:00,20,54
2/1/2021,9:00:00,21,54
2/1/2021,10:00:00,22,51
2/1/2021,11:00:00,24,48
2/1/2021,12:00:00,25,46
2/1/2021,13:00:00,26,45
2/1/2021,14:00:00,27,44
2/1/2021,15:00:00,27,43
2/1/2021,16:00:00,27,45
2/1/2021,17:00:00,26,47
2/1/2021,18:00:00,25,50
2/1/2021,19:00:00,24,51
2/1/2021,20:00:00,23,52
2/1/2021,21:00:00,23,53
2/1/2021,22:00:00,22,51
2/1/2021,23:00:00,22,48
3/1/2021,0:00:00,22,46
3/1/2021,1:00:00,21,46
3/1/2021,2:00:00,21,46
3/1/2021,3:00:00,21,46
3/1/2021,4:00:00,20,47
3/1/2021,5:00:00,20,48
3/1/2021,6:00:00,19,49
3/1/2021,7:00:00,21,47
3/1/2021,8:00:00,22,46
3/1/2021,9:00:00,24,44
3/1/2021,10:00:00,25,42
3/1/2021,11:00:00,27,40
3/1/2021,12:00:00,29,38
3/1/2021,13:00:00,29,38
3/1/2021,14:00:00,30,38
3/1/2021,15:00:00,31,37
3/1/2021,16:00:00,30,40
3/1/2021,17:00:00,29,43
3/1/2021,18:00:00,28,46
3/1/2021,19:00:00,27,47
3/1/2021,20:00:00,26,49
3/1/2021,21:00:00,25,51
3/1/2021,22:00:00,24,52
3/1/2021,23:00:00,24,54
4/1/2021,0:00:00,23,55
4/1/2021,1:00:00,23,55
4/1/2021,2:00:00,23,55
4/1/2021,3:00:00,22,55
4/1/2021,4:00:00,22,57
4/1/2021,5:00:00,22,59
4/1/2021,6:00:00,21,61
4/1/2021,7:00:00,22,59
4/1/2021,8:00:00,24,58
4/1/2021,9:00:00,25,56
4/1/2021,10:00:00,26,52
4/1/2021,11:00:00,28,49
4/1/2021,12:00:00,29,45
4/1/2021,13:00:00,30,44
4/1/2021,14:00:00,31,42
4/1/2021,15:00:00,31,41
4/1/2021,16:00:00,30,44
4/1/2021,17:00:00,29,46
4/1/2021,18:00:00,28,49
4/1/2021,19:00:00,28,51
4/1/2021,20:00:00,27,53
4/1/2021,21:00:00,26,56
4/1/2021,22:00:00,25,57
4/1/2021,23:00:00,24,58
5/1/2021,0:00:00,24,60
5/1/2021,1:00:00,23,60
5/1/2021,2:00:00,23,61
5/1/2021,3:00:00,23,62
5/1/2021,4:00:00,23,62
5/1/2021,5:00:00,22,61
5/1/2021,6:00:00,22,61
5/1/2021,7:00:00,24,58
5/1/2021,8:00:00,25,55
5/1/2021,9:00:00,26,51
5/1/2021,10:00:00,28,48
5/1/2021,11:00:00,29,45
5/1/2021,12:00:00,31,41
5/1/2021,13:00:00,31,40
5/1/2021,14:00:00,32,39
5/1/2021,15:00:00,33,38
5/1/2021,16:00:00,32,40
5/1/2021,17:00:00,31,43
5/1/2021,18:00:00,30,45
5/1/2021,19:00:00,29,48
5/1/2021,20:00:00,28,51
5/1/2021,21:00:00,28,53
5/1/2021,22:00:00,27,55
