,idx,datetime,temp,rh
0,0,2021-09-01 00:00:00,25.4,98.0
1,1,2021-09-01 01:00:00,26.0,96.0
2,2,2021-09-01 02:00:00,25.2,96.0
3,3,2021-09-01 03:00:00,25.3,96.0
4,4,2021-09-01 04:00:00,25.5,96.0
5,5,2021-09-01 05:00:00,24.9,98.0
6,6,2021-09-01 06:00:00,24.7,99.0
7,7,2021-09-01 07:00:00,25.9,97.0
8,8,2021-09-01 08:00:00,26.7,87.0
9,9,2021-09-01 09:00:00,28.0,80.0
10,10,2021-09-01 10:00:00,28.8,86.0
11,11,2021-09-01 11:00:00,29.6,76.0
12,12,2021-09-01 12:00:00,30.2,73.0
13,13,2021-09-01 13:00:00,31.2,72.0
14,14,2021-09-01 14:00:00,28.5,80.0
15,15,2021-09-01 15:00:00,27.0,84.0
16,16,2021-09-01 16:00:00,30.8,71.0
17,17,2021-09-01 17:00:00,27.4,82.0
18,18,2021-09-01 18:00:00,27.1,85.0
19,19,2021-09-01 19:00:00,28.6,84.0
20,20,2021-09-01 20:00:00,25.9,94.0
21,21,2021-09-01 21:00:00,25.4,94.0
22,22,2021-09-01 22:00:00,26.7,92.0
23,23,2021-09-01 23:00:00,25.3,96.0
24,24,2021-09-02 00:00:00,25.1,97.0
25,25,2021-09-02 01:00:00,26.2,97.0
26,26,2021-09-02 02:00:00,24.9,96.0
27,27,2021-09-02 03:00:00,24.7,96.0
28,28,2021-09-02 04:00:00,25.7,96.0
29,29,2021-09-02 05:00:00,24.4,96.0
30,30,2021-09-02 06:00:00,24.2,97.0
31,31,2021-09-02 07:00:00,25.7,96.0
32,32,2021-09-02 08:00:00,25.4,90.0
33,33,2021-09-02 09:00:00,27.0,82.0
34,34,2021-09-02 10:00:00,29.7,73.0
35,35,2021-09-02 11:00:00,29.5,74.0
36,36,2021-09-02 12:00:00,29.9,74.0
37,37,2021-09-02 13:00:00,31.7,68.0
38,38,2021-09-02 14:00:00,30.5,74.0
39,39,2021-09-02 15:00:00,30.7,74.0
40,40,2021-09-02 16:00:00,33.7,61.0
41,41,2021-09-02 17:00:00,27.6,85.0
42,42,2021-09-02 18:00:00,27.1,88.0
43,43,2021-09-02 19:00:00,26.0,92.0
44,44,2021-09-02 20:00:00,24.9,95.0
45,45,2021-09-02 21:00:00,24.9,95.0
46,46,2021-09-02 22:00:00,26.2,98.0
47,47,2021-09-02 23:00:00,24.9,96.0
48,48,2021-09-03 00:00:00,24.8,97.0
49,49,2021-09-03 01:00:00,26.1,97.0
50,50,2021-09-03 02:00:00,24.8,97.0
51,51,2021-09-03 03:00:00,24.8,97.0
52,52,2021-09-03 04:00:00,26.0,97.0
53,53,2021-09-03 05:00:00,24.6,97.0
54,54,2021-09-03 06:00:00,24.6,97.0
55,55,2021-09-03 07:00:00,26.0,92.0
56,56,2021-09-03 08:00:00,26.1,89.0
57,57,2021-09-03 09:00:00,27.0,84.0
58,58,2021-09-03 10:00:00,28.7,76.0
59,59,2021-09-03 11:00:00,28.4,76.0
60,60,2021-09-03 12:00:00,29.3,73.0
61,61,2021-09-03 13:00:00,31.3,61.0
62,62,2021-09-03 14:00:00,29.5,76.0
63,63,2021-09-03 15:00:00,27.8,81.0
64,64,2021-09-03 16:00:00,32.2,59.0
65,65,2021-09-03 17:00:00,27.0,85.0
66,66,2021-09-03 18:00:00,26.7,88.0
67,67,2021-09-03 19:00:00,29.5,71.0
68,68,2021-09-03 20:00:00,26.2,91.0
69,69,2021-09-03 21:00:00,26.2,91.0
70,70,2021-09-03 22:00:00,27.0,86.0
71,71,2021-09-03 23:00:00,25.8,80.0
72,72,2021-09-04 00:00:00,25.4,82.0
73,73,2021-09-04 01:00:00,26.0,92.0
74,74,2021-09-04 02:00:00,25.2,82.0
75,75,2021-09-04 03:00:00,25.2,83.0
76,76,2021-09-04 04:00:00,25.5,96.0
77,77,2021-09-04 05:00:00,25.0,85.0
78,78,2021-09-04 06:00:00,24.8,88.0
79,79,2021-09-04 07:00:00,26.0,88.0
80,80,2021-09-04 08:00:00,26.8,82.0
81,81,2021-09-04 09:00:00,27.9,77.0
82,82,2021-09-04 10:00:00,31.1,66.0
83,83,2021-09-04 11:00:00,29.9,69.0
84,84,2021-09-04 12:00:00,30.7,69.0
85,85,2021-09-04 13:00:00,33.1,55.0
86,86,2021-09-04 14:00:00,28.9,76.0
87,87,2021-09-04 15:00:00,29.5,73.0
88,88,2021-09-04 16:00:00,33.3,53.0
89,89,2021-09-04 17:00:00,27.6,85.0
90,90,2021-09-04 18:00:00,26.9,88.0
91,91,2021-09-04 19:00:00,26.5,86.0
92,92,2021-09-04 20:00:00,26.1,91.0
