,rh,utc,app_temps,wind_dir,local,datetime,temp,ts
0,74,2021-12-31T17:00:00,24.7,145,2022-01-01T00:00:00,2021-12-31:17,24.3,1640970000
1,74,2021-12-31T18:00:00,24.4,40,2022-01-01T01:00:00,2021-12-31:18,24.0,1640973600
2,74,2021-12-31T19:00:00,23.8,35,2022-01-01T02:00:00,2021-12-31:19,23.5,1640977200
3,75,2021-12-31T20:00:00,23.3,35,2022-01-01T03:00:00,2021-12-31:20,23.0,1640980800
4,75,2021-12-31T21:00:00,22.8,30,2022-01-01T04:00:00,2021-12-31:21,22.5,1640984400
5,79,2021-12-31T22:00:00,22.0,173,2022-01-01T05:00:00,2021-12-31:22,21.7,1640988000
6,79,2021-12-31T23:00:00,22.0,175,2022-01-01T06:00:00,2021-12-31:23,21.7,1640991600
7,81,2022-01-01T00:00:00,21.3,10,2022-01-01T07:00:00,2022-01-01:00,21.0,1640995200
8,74,2022-01-01T01:00:00,23.3,10,2022-01-01T08:00:00,2022-01-01:01,23.0,1640998800
9,68,2022-01-01T02:00:00,25.3,10,2022-01-01T09:00:00,2022-01-01:02,25.0,1641002400
10,62,2022-01-01T03:00:00,28.2,10,2022-01-01T10:00:00,2022-01-01:03,27.0,1641006000
11,59,2022-01-01T04:00:00,29.6,110,2022-01-01T11:00:00,2022-01-01:04,28.2,1641009600
12,56,2022-01-01T05:00:00,30.9,210,2022-01-01T12:00:00,2022-01-01:05,29.3,1641013200
13,53,2022-01-01T06:00:00,32.4,310,2022-01-01T13:00:00,2022-01-01:06,30.5,1641016800
14,51,2022-01-01T07:00:00,32.3,210,2022-01-01T14:00:00,2022-01-01:07,30.7,1641020400
15,50,2022-01-01T08:00:00,32.3,110,2022-01-01T15:00:00,2022-01-01:08,30.8,1641024000
16,48,2022-01-01T09:00:00,32.2,10,2022-01-01T16:00:00,2022-01-01:09,31.0,1641027600
17,51,2022-01-01T10:00:00,31.7,15,2022-01-01T17:00:00,2022-01-01:10,30.3,1641031200
18,54,2022-01-01T11:00:00,31.2,15,2022-01-01T18:00:00,2022-01-01:11,29.7,1641034800
19,57,2022-01-01T12:00:00,30.6,20,2022-01-01T19:00:00,2022-01-01:12,29.0,1641038400
20,62,2022-01-01T13:00:00,29.5,25,2022-01-01T20:00:00,2022-01-01:13,27.9,1641042000
21,68,2022-01-01T14:00:00,28.5,25,2022-01-01T21:00:00,2022-01-01:14,26.9,1641045600
