Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
1/1/2021,1:00,288.23,74.82,1016.17,3.89,28.36,0.000007,0,0,140.6788
1/1/2021,2:00,290.62,62.48,1016.84,5.43,46.45,0.000003,0,0,364.6508
1/1/2021,3:00,293.27,54.06,1016.86,5.79,51.2,0.000001,0,0,565.896
1/1/2021,4:00,295.67,48.24,1016.29,5.81,50.99,0,0,0,719.7834
1/1/2021,5:00,297.54,44.39,1015.2,5.79,50.77,0,0,0,809.4314
1/1/2021,6:00,298.92,41.98,1013.86,5.68,50.94,0,0,0,833.1613
1/1/2021,7:00,299.74,40.81,1012.61,5.58,51.29,0,0,0,775.2786
1/1/2021,8:00,300.01,40.64,1011.73,5.51,51.47,0,0,0,650.4431
1/1/2021,9:00,299.73,41.29,1011.36,5.47,51.75,0,0,0,467.8191
1/1/2021,10:00,298.66,45.23,1011.58,5.02,51.1,0,0,0,254.7986
1/1/2021,11:00,296,59.3,1012.19,3.35,49.26,0,0,0,57.9804
1/1/2021,12:00,293.48,69.69,1013.05,3.11,48.42,0,0,0,0
1/1/2021,13:00,292.69,71.99,1014.01,3.1,48.31,0,0,0,0
1/1/2021,14:00,291.95,73.77,1014.55,3.03,47.54,0,0,0,0
1/1/2021,15:00,291.28,74.96,1014.7,3.01,46.62,0,0,0,0
1/1/2021,16:00,290.7,75.88,1014.61,3.02,47.06,0,0,0,0
1/1/2021,17:00,290.18,76.85,1014.42,3.06,48.25,0,0,0,0
1/1/2021,18:00,289.69,77.91,1014.14,3.16,48.76,0,0,0,0
1/1/2021,19:00,289.16,79.42,1013.55,3.21,49.72,0,0,0,0
1/1/2021,20:00,288.58,81.4,1013.07,3.12,51.14,0,0,0,0
1/1/2021,21:00,287.97,83.34,1012.88,2.98,51.1,0,0,0,0
1/1/2021,22:00,287.45,84.57,1013.04,2.89,49.41,0,0,0,0
1/1/2021,23:00,287.02,85.39,1013.4,2.77,46.23,0,0,0,0
1/1/2021,0:00,286.71,85.31,1014.12,2.73,42.97,0,0,0,4.7121
2/1/2021,1:00,288.57,74.27,1014.99,3.63,40.01,0,0,0,136.634
2/1/2021,2:00,291.28,61.26,1015.75,4.75,50.01,0,0,0,360.7392
2/1/2021,3:00,294.27,52.12,1016.01,5.02,53.34,0,0,0,567.9698
2/1/2021,4:00,296.79,46.18,1015.55,4.77,48.86,0,0,0,723.4973
2/1/2021,5:00,298.69,42.03,1014.41,4.66,41.89,0,0,0,814.5719
2/1/2021,6:00,299.98,39.56,1012.95,4.61,37.25,0,0,0,833.053
2/1/2021,7:00,300.69,38.57,1011.64,4.52,36.82,0,0,0,780.141
2/1/2021,8:00,300.88,38.58,1010.82,4.41,38.93,0,0,0,657.2014
2/1/2021,9:00,300.57,39.6,1010.52,4.37,41.86,0,0,0,476.6788
2/1/2021,10:00,299.53,43.7,1010.72,4.07,44.11,0,0,0,264.6238
2/1/2021,11:00,296.87,59.71,1011.28,2.73,45.7,0,0,0,59.1382
2/1/2021,12:00,294.41,70.62,1011.99,2.73,47.16,0,0,0,0
2/1/2021,13:00,293.75,72.93,1012.64,2.73,48.7,0,0,0,0
2/1/2021,14:00,293.13,75.27,1013.01,2.66,49.72,0,0,0,0
2/1/2021,15:00,292.58,77.26,1013.15,2.56,50.18,0,0,0,0
2/1/2021,16:00,292.07,78.71,1013.09,2.49,47.86,0,0,0,0
2/1/2021,17:00,291.56,79.64,1012.69,2.47,41.72,0,0,0,0
2/1/2021,18:00,291.06,79.98,1012.11,2.48,34.54,0,0,0,0
2/1/2021,19:00,290.61,79.8,1011.42,2.59,28.87,0,0,0,0
2/1/2021,20:00,290.2,79.84,1010.89,2.79,26.78,0,0,0,0
2/1/2021,21:00,289.79,80.64,1010.85,2.92,28.33,0,0,0,0
2/1/2021,22:00,289.45,81.97,1011.18,2.88,31.18,0,0,0,0
2/1/2021,23:00,289.21,83.24,1011.76,2.79,34.7,0,0,0,0
2/1/2021,0:00,289.05,84.23,1012.62,2.71,38.06,0,0,0,4.8093
3/1/2021,1:00,290.87,74.85,1013.42,3.66,38.75,0,0,0,139.2414
3/1/2021,2:00,293.76,63.15,1013.9,4.26,45.95,0,0,0,361.4951
3/1/2021,3:00,296.97,53.37,1013.78,4.32,43.98,0,0,0,566.3146
3/1/2021,4:00,299.72,45.62,1013.14,4.14,35.02,0,0,0,722.4431
3/1/2021,5:00,301.68,40.47,1012.09,4.01,30.71,0,0,0,815.6251
3/1/2021,6:00,302.83,38.38,1010.85,3.88,32.24,0,0,0,835.4042
3/1/2021,7:00,303.44,37.93,1009.68,3.78,36.58,0,0,0,781.0681
3/1/2021,8:00,303.61,38.43,1008.97,3.78,42.26,0,0,0,658.0434
3/1/2021,9:00,303.18,40.3,1008.79,3.88,48.48,0,0,0,474.7466
3/1/2021,10:00,301.98,45.56,1009.01,3.72,52.26,0.000002,0,0,252.8726
3/1/2021,11:00,299.11,62.35,1009.79,2.6,53.8,0.000015,0,0,53.7781
3/1/2021,12:00,296.78,71.45,1010.65,2.72,55.4,0.000132,0,0,0
3/1/2021,13:00,296.13,73.67,1011.42,2.74,57.47,0.00049,0,0,0
