,idx,datetime,temp,rh
0,0,2021-07-01 00:00:00,26.7,91.0
1,1,2021-07-01 01:00:00,28.8,81.0
2,2,2021-07-01 02:00:00,26.3,92.0
3,3,2021-07-01 03:00:00,26.0,94.0
4,4,2021-07-01 04:00:00,28.2,78.0
5,5,2021-07-01 05:00:00,25.5,94.0
6,6,2021-07-01 06:00:00,25.3,93.0
7,7,2021-07-01 07:00:00,28.0,74.0
8,8,2021-07-01 08:00:00,28.8,69.0
9,9,2021-07-01 09:00:00,30.5,63.0
10,10,2021-07-01 10:00:00,33.2,55.0
11,11,2021-07-01 11:00:00,33.7,51.0
12,12,2021-07-01 12:00:00,35.0,47.0
13,13,2021-07-01 13:00:00,36.0,47.0
14,14,2021-07-01 14:00:00,36.2,43.0
15,15,2021-07-01 15:00:00,33.3,55.0
16,16,2021-07-01 16:00:00,36.0,42.0
17,17,2021-07-01 17:00:00,32.1,56.0
18,18,2021-07-01 18:00:00,29.6,77.0
19,19,2021-07-01 19:00:00,33.2,49.0
20,20,2021-07-01 20:00:00,27.6,89.0
21,21,2021-07-01 21:00:00,27.9,88.0
22,22,2021-07-01 22:00:00,30.0,72.0
23,23,2021-07-01 23:00:00,27.4,85.0
24,24,2021-07-02 00:00:00,27.4,86.0
25,25,2021-07-02 01:00:00,27.7,83.0
26,26,2021-07-02 02:00:00,26.1,93.0
27,27,2021-07-02 03:00:00,25.8,94.0
28,28,2021-07-02 04:00:00,27.0,84.0
29,29,2021-07-02 05:00:00,25.1,97.0
30,30,2021-07-02 06:00:00,24.8,98.0
31,31,2021-07-02 07:00:00,27.2,79.0
32,32,2021-07-02 08:00:00,27.9,79.0
33,33,2021-07-02 09:00:00,29.7,71.0
34,34,2021-07-02 10:00:00,33.0,53.0
35,35,2021-07-02 11:00:00,32.8,55.0
36,36,2021-07-02 12:00:00,34.1,49.0
37,37,2021-07-02 13:00:00,36.0,46.0
38,38,2021-07-02 14:00:00,35.7,43.0
39,39,2021-07-02 15:00:00,35.9,43.0
40,40,2021-07-02 16:00:00,37.0,44.0
41,41,2021-07-02 17:00:00,31.4,66.0
42,42,2021-07-02 18:00:00,31.4,64.0
43,43,2021-07-02 19:00:00,29.8,80.0
44,44,2021-07-02 20:00:00,29.8,71.0
45,45,2021-07-02 21:00:00,29.2,75.0
46,46,2021-07-02 22:00:00,29.5,71.0
47,47,2021-07-02 23:00:00,28.1,82.0
48,48,2021-07-03 00:00:00,28.2,85.0
49,49,2021-07-03 01:00:00,28.5,78.0
50,50,2021-07-03 02:00:00,27.0,91.0
51,51,2021-07-03 03:00:00,26.6,90.0
52,52,2021-07-03 04:00:00,27.5,81.0
53,53,2021-07-03 05:00:00,25.8,86.0
54,54,2021-07-03 06:00:00,25.2,89.0
55,55,2021-07-03 07:00:00,27.2,77.0
56,56,2021-07-03 08:00:00,28.6,71.0
57,57,2021-07-03 09:00:00,31.3,60.0
58,58,2021-07-03 10:00:00,32.8,56.0
59,59,2021-07-03 11:00:00,34.7,47.0
60,60,2021-07-03 12:00:00,36.0,42.0
61,61,2021-07-03 13:00:00,35.2,50.0
62,62,2021-07-03 14:00:00,37.7,38.0
63,63,2021-07-03 15:00:00,37.3,39.0
64,64,2021-07-03 16:00:00,37.0,42.0
65,65,2021-07-03 17:00:00,33.1,55.0
66,66,2021-07-03 18:00:00,33.0,54.0
67,67,2021-07-03 19:00:00,34.8,55.0
68,68,2021-07-03 20:00:00,31.0,64.0
69,69,2021-07-03 21:00:00,30.5,65.0
70,70,2021-07-03 22:00:00,32.2,61.0
71,71,2021-07-03 23:00:00,29.4,74.0
72,72,2021-07-04 00:00:00,29.2,74.0
73,73,2021-07-04 01:00:00,30.7,72.0
74,74,2021-07-04 02:00:00,28.3,79.0
75,75,2021-07-04 03:00:00,28.1,79.0
76,76,2021-07-04 04:00:00,29.6,75.0
77,77,2021-07-04 05:00:00,27.4,76.0
78,78,2021-07-04 06:00:00,26.9,76.0
79,79,2021-07-04 07:00:00,29.0,71.0
80,80,2021-07-04 08:00:00,29.7,65.0
81,81,2021-07-04 09:00:00,31.8,56.0
82,82,2021-07-04 10:00:00,33.1,56.0
83,83,2021-07-04 11:00:00,34.9,47.0
84,84,2021-07-04 12:00:00,35.9,43.0
85,85,2021-07-04 13:00:00,36.2,47.0
86,86,2021-07-04 14:00:00,37.5,37.0
87,87,2021-07-04 15:00:00,37.5,36.0
88,88,2021-07-04 16:00:00,38.0,40.0
89,89,2021-07-04 17:00:00,34.3,50.0
90,90,2021-07-04 18:00:00,31.3,66.0
91,91,2021-07-04 19:00:00,35.0,56.0
92,92,2021-07-04 20:00:00,30.9,65.0
93,93,2021-07-04 21:00:00,30.5,68.0
94,94,2021-07-04 22:00:00,32.1,67.0
95,95,2021-07-04 23:00:00,29.7,74.0
96,96,2021-07-05 00:00:00,29.6,74.0
97,97,2021-07-05 01:00:00,30.5,68.0
98,98,2021-07-05 02:00:00,28.3,75.0
99,99,2021-07-05 03:00:00,27.9,74.0
100,100,2021-07-05 04:00:00,29.0,72.0
101,101,2021-07-05 05:00:00,27.2,76.0
102,102,2021-07-05 06:00:00,26.9,78.0
103,103,2021-07-05 07:00:00,29.0,71.0
104,104,2021-07-05 08:00:00,29.8,65.0
105,105,2021-07-05 09:00:00,31.5,57.0
106,106,2021-07-05 10:00:00,33.5,56.0
107,107,2021-07-05 11:00:00,35.0,44.0
108,108,2021-07-05 12:00:00,36.2,40.0
109,109,2021-07-05 13:00:00,36.5,48.0
110,110,2021-07-05 14:00:00,37.2,36.0
111,111,2021-07-05 15:00:00,37.4,35.0
112,112,2021-07-05 16:00:00,35.0,52.0
113,113,2021-07-05 17:00:00,37.0,36.0
114,114,2021-07-05 18:00:00,27.8,88.0
115,115,2021-07-05 19:00:00,33.0,64.0
116,116,2021-07-05 20:00:00,26.9,91.0
117,117,2021-07-05 21:00:00,26.9,91.0
118,118,2021-07-05 22:00:00,31.5,66.0
119,119,2021-07-05 23:00:00,27.3,89.0
120,120,2021-07-06 00:00:00,27.4,90.0
121,121,2021-07-06 01:00:00,30.5,68.0
122,122,2021-07-06 02:00:00,27.1,94.0
123,123,2021-07-06 03:00:00,27.9,85.0
124,124,2021-07-06 04:00:00,29.5,71.0
125,125,2021-07-06 05:00:00,27.7,87.0
126,126,2021-07-06 06:00:00,27.7,80.0
127,127,2021-07-06 07:00:00,29.0,74.0
128,128,2021-07-06 08:00:00,29.9,65.0
129,129,2021-07-06 09:00:00,31.7,58.0
130,130,2021-07-06 10:00:00,31.2,65.0
131,131,2021-07-06 11:00:00,34.3,48.0
132,132,2021-07-06 12:00:00,35.5,43.0
133,133,2021-07-06 13:00:00,34.2,54.0
134,134,2021-07-06 14:00:00,36.4,42.0
135,135,2021-07-06 15:00:00,37.6,37.0
136,136,2021-07-06 16:00:00,34.8,51.0
137,137,2021-07-06 17:00:00,30.6,67.0
138,138,2021-07-06 18:00:00,29.8,68.0
139,139,2021-07-06 19:00:00,29.3,72.0
140,140,2021-07-06 20:00:00,26.8,91.0
141,141,2021-07-06 21:00:00,26.8,92.0
