Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
1/1/2021,1:00,289.55,75.05,1016.27,4.89,30.99,0.000001,0,0,140.6686
1/1/2021,2:00,291.51,64.6,1016.91,5.93,41.87,0,0,0,362.6294
1/1/2021,3:00,293.75,56.6,1016.9,6.11,45.21,0.000001,0,0,552.7844
1/1/2021,4:00,295.83,50.63,1016.29,6.07,45.37,0.000001,0,0,688.7689
1/1/2021,5:00,297.57,46.38,1015.19,6.01,46.01,0.000001,0,0,775.1545
1/1/2021,6:00,298.93,43.57,1013.9,5.87,46.52,0.000001,0,0,803.0366
1/1/2021,7:00,299.79,42.13,1012.62,5.77,46.88,0.000001,0,0,734.8122
1/1/2021,8:00,300.17,41.7,1011.73,5.73,47.36,0.000001,0,0,622.2338
1/1/2021,9:00,300.05,42.21,1011.34,5.73,48.32,0.000001,0,0,454.6281
1/1/2021,10:00,299.26,45.23,1011.52,5.53,48.43,0,0,0,252.4598
1/1/2021,11:00,297.2,55.64,1012.16,4.29,47.08,0,0,0,59.4367
1/1/2021,12:00,294.97,66.06,1013.04,3.98,45.66,0,0,0,0
1/1/2021,13:00,294.24,69.11,1014.03,4.05,45.11,0,0,0,0
1/1/2021,14:00,293.54,71.82,1014.59,3.93,43.94,0,0,0,0
1/1/2021,15:00,292.9,73.59,1014.72,3.86,43.05,0,0,0,0
1/1/2021,16:00,292.32,74.9,1014.61,3.84,44.09,0,0,0,0
1/1/2021,17:00,291.8,76.14,1014.42,3.9,45.46,0,0,0,0
1/1/2021,18:00,291.31,77.11,1014.14,4.07,45.75,0,0,0,0
1/1/2021,19:00,290.77,78.51,1013.6,4.18,46.72,0,0,0,0
1/1/2021,20:00,290.17,80.38,1013.14,4.09,48.71,0,0,0,0
1/1/2021,21:00,289.56,82.25,1012.96,3.93,49.46,0,0,0,0
1/1/2021,22:00,289.11,83.19,1013.13,3.86,48.42,0,0,0,0
1/1/2021,23:00,288.73,83.79,1013.53,3.69,45.76,0,0,0,0
1/1/2021,0:00,288.46,83.3,1014.23,3.64,43.21,0,0,0,4.7559
2/1/2021,1:00,289.93,74.17,1015.13,4.5,40.89,0,0,0,133.6786
2/1/2021,2:00,292.16,62.84,1015.9,5.27,48.19,0,0,0,350.626
2/1/2021,3:00,294.71,53.97,1016.11,5.19,49.95,0.000001,0,0,553.7506
2/1/2021,4:00,296.95,47.86,1015.64,4.82,44.68,0.000003,0,0,704.5582
2/1/2021,5:00,298.75,43.31,1014.49,4.71,36.97,0.000001,0,0,796.8902
2/1/2021,6:00,300.01,40.52,1013.01,4.67,32.28,0,0,0,817.8441
2/1/2021,7:00,300.77,39.23,1011.67,4.55,32.33,0,0,0,773.1771
2/1/2021,8:00,301.06,39.06,1010.84,4.43,34.72,0,0,0,657.0605
2/1/2021,9:00,300.88,39.95,1010.52,4.41,37.64,0,0,0,475.3289
2/1/2021,10:00,300.09,43.17,1010.72,4.29,40.15,0,0,0,269.0724
2/1/2021,11:00,297.9,55.77,1011.26,3.26,41.34,0,0,0,61.729
2/1/2021,12:00,295.68,66.66,1011.99,3.25,42.18,0,0,0,0
2/1/2021,13:00,295.04,69.65,1012.69,3.35,44.29,0,0,0,0
2/1/2021,14:00,294.43,72.68,1013.11,3.29,46.36,0,0,0,0
2/1/2021,15:00,293.91,75.19,1013.29,3.14,47.45,0,0,0,0
2/1/2021,16:00,293.45,76.86,1013.2,3,45.61,0,0,0,0
2/1/2021,17:00,292.99,78.09,1012.79,2.91,40,0,0,0,0
2/1/2021,18:00,292.52,79.02,1012.16,2.88,32.32,0,0,0,0
2/1/2021,19:00,292.06,79.72,1011.44,2.99,25.49,0,0,0,0
2/1/2021,20:00,291.62,80.22,1010.93,3.24,22.71,0,0,0,0
2/1/2021,21:00,291.18,81.1,1010.9,3.43,24.13,0,0,0,0
2/1/2021,22:00,290.79,82.34,1011.24,3.4,26.86,0,0,0,0
2/1/2021,23:00,290.52,83.43,1011.83,3.3,30.14,0,0,0,0
2/1/2021,0:00,290.33,84.36,1012.71,3.19,33.11,0,0,0,5.0503
3/1/2021,1:00,291.85,76.01,1013.49,4.01,33.72,0,0,0,140.5175
3/1/2021,2:00,294.41,64.41,1013.98,4.42,40.61,0,0,0,361.5524
3/1/2021,3:00,297.39,54.05,1013.84,4.39,38.31,0,0,0,564.6722
3/1/2021,4:00,300.06,45.9,1013.2,4.19,30.68,0,0,0,720.1448
3/1/2021,5:00,301.83,41.3,1012.15,4.02,28.12,0,0,0,813.7473
3/1/2021,6:00,302.91,39.7,1010.87,3.8,29.95,0,0,0,833.2837
3/1/2021,7:00,303.52,39.55,1009.69,3.63,33.96,0,0,0,778.8029
3/1/2021,8:00,303.72,40.39,1008.94,3.55,39.63,0,0,0,655.8746
3/1/2021,9:00,303.4,42.35,1008.75,3.6,46.42,0.000001,0,0,464.4006
3/1/2021,10:00,302.44,46.57,1008.97,3.61,51.18,0.000015,0,0,244.3174
3/1/2021,11:00,300.03,60.1,1009.75,2.78,53.35,0.000286,0,0,52.95
3/1/2021,12:00,297.98,68.28,1010.64,2.96,54.69,0.001773,0,0,0
3/1/2021,13:00,297.34,70.83,1011.48,3.1,57.02,0.002745,0,0,0
3/1/2021,14:00,296.72,74.04,1011.99,3,57.17,0.003418,0,0,0
3/1/2021,15:00,296.17,76.69,1012.16,2.79,53.65,0.003141,0,0,0
3/1/2021,16:00,295.62,78.61,1012.06,2.64,46.15,0.000632,0,0,0
3/1/2021,17:00,295.06,79.94,1011.69,2.64,36.45,0.000079,0,0,0
3/1/2021,18:00,294.48,80.9,1011.19,2.84,29.95,0.000001,0,0,0
3/1/2021,19:00,293.92,81.85,1010.58,3.23,28.24,0,0,0,0
3/1/2021,20:00,293.43,82.5,1010.14,3.66,31.49,0,0,0,0
3/1/2021,21:00,292.99,83.77,1010.03,3.83,36.84,0,0,0,0
3/1/2021,22:00,292.64,85.11,1010.36,3.64,42.17,0,0,0,0
3/1/2021,23:00,292.37,86.47,1010.95,3.4,44.26,0,0,0,0
3/1/2021,0:00,292.18,87.04,1011.96,3.26,43.94,0,0,0,4.9574
4/1/2021,1:00,293.59,78.27,1013.03,4.36,43.71,0,0,0,136.8022
4/1/2021,2:00,295.83,66.38,1013.93,5.47,52.5,0,0,0,356.8475
4/1/2021,3:00,298.27,57.47,1014.23,5.43,53.91,0.000004,0,0,558.1847
4/1/2021,4:00,300.44,51.55,1013.7,5.14,51.19,0.000014,0,0,687.4178
4/1/2021,5:00,302.09,48.19,1012.62,4.83,48.94,0.000011,0,0,779.24
4/1/2021,6:00,303.19,46.7,1011.25,4.56,47.53,0.000005,0,0,808.836
4/1/2021,7:00,303.78,46.37,1009.95,4.41,46.08,0.000006,0,0,764.109
4/1/2021,8:00,303.91,47.14,1009.14,4.3,44.12,0.00004,0,0,641.996
4/1/2021,9:00,303.56,48.68,1008.99,4.24,41.77,0.000075,0,0,457.2211
4/1/2021,10:00,302.68,52.2,1009.33,4.13,40.73,0.000204,0,0,244.3061
4/1/2021,11:00,300.67,63.12,1010.04,3.1,39.64,0.000221,0,0,54.1185
4/1/2021,12:00,298.63,72.33,1010.83,3.05,37.22,0.000099,0,0,0
4/1/2021,13:00,297.96,74.57,1011.61,3.23,36.64,0.000007,0,0,0
4/1/2021,14:00,297.36,76.86,1012.07,3.21,34.46,0,0,0,0
4/1/2021,15:00,296.83,78.62,1012.11,3.12,29.85,0,0,0,0
4/1/2021,16:00,296.37,79.6,1011.88,3.11,25.29,0,0,0,0
4/1/2021,17:00,295.93,80.22,1011.58,3.25,23.44,0,0,0,0
4/1/2021,18:00,295.49,80.89,1011.19,3.5,24.62,0,0,0,0
4/1/2021,19:00,295.01,82.06,1010.64,3.72,27.23,0,0,0,0
4/1/2021,20:00,294.49,84.02,1010.21,3.62,29.32,0,0,0,0
4/1/2021,21:00,294.04,85.57,1010.06,3.49,32.77,0,0,0,0
4/1/2021,22:00,293.67,87.13,1010.22,3.13,35.58,0.000001,0,0,0
4/1/2021,23:00,293.4,88.34,1010.74,2.82,36.74,0.000001,0,0,0
