time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
1/1/2021 0:00,19.5,13,66,,,0,0,,1015.2,,2
1/1/2021 1:00,21.1,13.8,63,,,57,1.8,,1016.3,,2
1/1/2021 2:00,22.1,14,60,,,52,1.8,,1016.9,,2
1/1/2021 3:00,23.8,15,58,,,0,0,,1016.7,,2
1/1/2021 4:00,24.7,15.1,55,,,25,1.8,,1015.9,,1
1/1/2021 5:00,25.6,15,52,,,25,3.7,,1015.2,,2
1/1/2021 6:00,26.6,16.2,53,,,20,3.6,,1015.5,,2
1/1/2021 7:00,27,15.4,49,,,18,3.7,,1013.7,,2
1/1/2021 8:00,27.4,15.4,48,,,12,3.7,,1013,,2
1/1/2021 9:00,28.5,14.3,42,,,0,0,,1012.3,,2
1/1/2021 10:00,26.7,16.3,53,,,9,1.8,,1013.1,,2
1/1/2021 11:00,25.8,16.1,55,,,27,1.8,,1013.6,,2
1/1/2021 12:00,25.9,15.6,53,,,40,3.6,,1013.7,,2
1/1/2021 13:00,24.2,15.7,59,,,44,1.8,,1014.6,,2
1/1/2021 14:00,23.7,15.5,60,,,47,1.8,,1015.1,,2
1/1/2021 15:00,23.5,14.2,56,,,0,0,,1015,,2
1/1/2021 16:00,23,14,57,,,,0,,1014.9,,1
1/1/2021 17:00,22.5,14.1,59,,,,0,,1014.7,,2
1/1/2021 18:00,22.1,14.7,63,,,0,0,,1014.7,,2
1/1/2021 19:00,21.6,14,62,,,46,1.8,,1014.2,,2
1/1/2021 20:00,21.1,14,64,,,60,1.8,,1013.9,,2
1/1/2021 21:00,20,13.9,68,,,0,0,,1013.3,,2
1/1/2021 22:00,20.3,14.2,68,,,,0,,1014.2,,1
1/1/2021 23:00,20,13.9,68,,,52,0,,1014.6,,2
2/1/2021 0:00,20,13,64,,,0,0,,1014.5,,2
2/1/2021 1:00,20.9,14.3,66,,,49,0,,1015.6,,2
2/1/2021 2:00,22.1,14.5,62,,,47,0,,1016.1,,2
2/1/2021 3:00,23.7,15.2,59,,,0,0,,1016.2,,2
2/1/2021 4:00,24.8,15.4,56,,,13,1.8,,1015.4,,2
2/1/2021 5:00,25.9,15.6,53,,,13,1.8,,1014.6,,2
2/1/2021 6:00,26.8,16.4,53,,,120,7.6,,1014.6,,2
2/1/2021 7:00,27.5,15.8,49,,,14,3.7,,1013,,2
2/1/2021 8:00,28,16,48,,,15,1.8,,1012.3,,2
2/1/2021 9:00,28.4,15.7,46,,,160,7.6,,1011.6,,2
2/1/2021 10:00,27.5,16.2,50,,,155,5.5,,1012.1,,1
2/1/2021 11:00,26.7,16.3,53,,,141,3.7,,1012.5,,2
2/1/2021 12:00,26.4,14.5,48,,,290,7.6,,1011.3,,2
2/1/2021 13:00,25.1,16.8,60,,,,0,,1013.4,,2
2/1/2021 14:00,24.4,16.6,62,,,,0,,1013.9,,2
2/1/2021 15:00,25.4,12.9,46,,,0,0,,1014.3,,2
2/1/2021 16:00,24.8,13.4,49,,,,0,,1014,,1
2/1/2021 17:00,24.2,14,53,,,,0,,1013.8,,2
2/1/2021 18:00,23,16.3,66,,,0,0,,1013.5,,2
2/1/2021 19:00,23,14.6,59,,,26,1.8,,1013.1,,1
2/1/2021 20:00,22.4,14.8,62,,,61,1.8,,1012.7,,1
2/1/2021 21:00,21.2,16.2,73,,,0,0,,1012.2,,1
2/1/2021 22:00,21.4,15.7,70,,,,0,,1012.9,,1
2/1/2021 23:00,21.2,15.5,70,,,,0,,1013.3,,2
3/1/2021 0:00,22.2,15.5,66,,,0,0,,1013.6,,2
3/1/2021 1:00,22.3,15.6,66,,,41,0,,1014.3,,2
3/1/2021 2:00,23.7,15.7,61,,,37,0,,1014.7,,2
3/1/2021 3:00,26.4,15.8,52,,,0,0,,1014.2,,2
3/1/2021 4:00,27.3,16,50,,,28,1.8,,1013.4,,2
3/1/2021 5:00,28.1,16.4,49,,,28,1.8,,1012.7,,2
3/1/2021 6:00,30.5,16.9,44,,,120,5.4,,1011.6,,2
3/1/2021 7:00,29.4,16.9,47,,,34,3.7,,1011.4,,2
3/1/2021 8:00,29.8,16.9,46,,,40,1.8,,1010.8,,2
3/1/2021 9:00,29.5,15.2,42,,,240,7.6,,1010.4,,2
3/1/2021 10:00,29.9,17.4,47,,,32,1.8,,1010.4,,2
3/1/2021 11:00,28.8,17.7,51,,,27,1.8,,1010.9,,2
3/1/2021 12:00,27.2,16.2,51,,,0,0,,1011.5,,2
3/1/2021 13:00,27,18.3,59,,,,0,,1012.1,,2
3/1/2021 14:00,26.4,18.3,61,,,,0,,1012.6,,2
3/1/2021 15:00,26.8,17.3,56,,,0,0,,1013.4,,2
3/1/2021 16:00,26.2,17.3,58,,,,0,,1013.1,,1
3/1/2021 17:00,25.6,17.3,60,,,,0,,1012.9,,1
3/1/2021 18:00,24.2,17.4,66,,,0,0,,1013.1,,1
3/1/2021 19:00,24.4,17.2,64,,,,0,,1012.3,,1
3/1/2021 20:00,23.9,17.2,66,,,,0,,1011.9,,2
3/1/2021 21:00,22.2,16.5,70,,,0,0,,1011.3,,1
3/1/2021 22:00,22.9,17.4,71,,,,0,,1012.3,,1
3/1/2021 23:00,22.7,17.4,72,,,,0,,1012.8,,2
4/1/2021 0:00,22,16.9,73,,,0,0,,1013.6,,2
4/1/2021 1:00,23.7,17.4,68,,,50,0,,1013.9,,2
4/1/2021 2:00,24.8,17.8,65,,,54,0,,1014.4,,2
4/1/2021 3:00,27,16,51,,,0,0,,1014.2,,2
4/1/2021 4:00,28,16.6,50,,,37,1.8,,1013.5,,2
4/1/2021 5:00,28.9,17.1,49,,,37,1.8,,1012.8,,2
4/1/2021 6:00,30.8,18.9,49,,,200,7.6,,1011.4,,2
4/1/2021 7:00,30.3,17.7,47,,,41,3.7,,1011.4,,2
4/1/2021 8:00,30.6,18,47,,,45,3.7,,1010.7,,2
4/1/2021 9:00,30.5,17.9,47,,,160,3.6,,1010.4,,2
4/1/2021 10:00,30.7,19.1,50,,,158,1.8,,1010.2,,2
4/1/2021 11:00,29.7,19.4,54,,,108,1.8,,1010.8,,2
4/1/2021 12:00,29.3,19,54,,,60,3.6,,1011.6,,2
4/1/2021 13:00,28.2,19.7,60,,,,0,,1012,,2
4/1/2021 14:00,27.6,19.7,62,,,,0,,1012.5,,2
4/1/2021 15:00,26.8,19.2,63,,,0,0,,1013.2,,2
4/1/2021 16:00,26.4,19,64,,,,0,,1013,,1
4/1/2021 17:00,25.9,18.8,65,,,,0,,1012.8,,1
4/1/2021 18:00,24.5,18.2,68,,,0,0,,1012.3,,1
4/1/2021 19:00,25.1,18.5,67,,,,0,,1012.3,,1
4/1/2021 20:00,24.8,18.5,68,,,,0,,1012,,2
4/1/2021 21:00,23.3,18,72,,,0,0,,1011.8,,2
4/1/2021 22:00,23.5,18.2,72,,,,0,,1012,,1
4/1/2021 23:00,23.3,18.2,73,,,,0,,1012.6,,2
5/1/2021 0:00,22.5,17.8,75,,,0,0,,1013.1,,2
5/1/2021 1:00,24.7,18.6,69,,,,0,,1013.6,,2
5/1/2021 2:00,26.2,18.9,64,,,34,0,,1014,,2
5/1/2021 3:00,28.2,18.6,56,,,240,7.6,,1014.8,,2
5/1/2021 4:00,29.2,18.9,54,,,240,5.5,,1014,,1
5/1/2021 5:00,30.2,18.9,51,,,238,5.5,,1013,,1
5/1/2021 6:00,32.5,18.3,43,,,340,7.6,,1012.6,,2
5/1/2021 7:00,31.4,19.7,50,,,111,3.7,,1011.3,,2
5/1/2021 8:00,31.6,19.9,50,,,101,3.7,,1010.7,,2
5/1/2021 9:00,31,19,49,,,100,3.6,,1011,,2
5/1/2021 10:00,31.7,19.3,48,,,12,1.8,,1010.9,,2
5/1/2021 11:00,30.7,20,53,,,51,1.8,,1011.4,,2
5/1/2021 12:00,29.3,19.9,57,,,0,0,,1012.3,,2
5/1/2021 13:00,29,20.7,61,,,90,1.8,,1012.2,,2
5/1/2021 14:00,28.4,20.9,64,,,,0,,1012.6,,2
5/1/2021 15:00,28,20.3,63,,,0,0,,1012.7,,2
5/1/2021 16:00,27.5,20.3,65,,,,0,,1012.5,,2
5/1/2021 17:00,27.1,20.2,66,,,,0,,1012.3,,2
5/1/2021 18:00,27.8,20.1,63,,,0,0,,1012.6,,2
5/1/2021 19:00,26.2,20.3,70,,,,0,,1011.6,,2
5/1/2021 20:00,25.8,20.4,72,,,,0,,1011.1,,2
