,date,time,temp,rh
0,2021-01-01,0,25,39
1,2021-01-01,100,25,39
2,2021-01-01,200,25,40
3,2021-01-01,300,24,41
4,2021-01-01,400,24,42
5,2021-01-01,500,23,43
6,2021-01-01,600,23,44
7,2021-01-01,700,23,44
8,2021-01-01,800,24,43
9,2021-01-01,900,24,43
10,2021-01-01,1000,25,40
11,2021-01-01,1100,26,38
12,2021-01-01,1200,27,36
13,2021-01-01,1300,27,34
14,2021-01-01,1400,28,32
15,2021-01-01,1500,29,31
16,2021-01-01,1600,29,32
17,2021-01-01,1700,29,33
18,2021-01-01,1800,28,35
19,2021-01-01,1900,28,36
20,2021-01-01,2000,27,38
21,2021-01-01,2100,27,39
22,2021-01-01,2200,26,39
23,2021-01-01,2300,26,39
24,2021-01-02,0,26,39
25,2021-01-02,100,25,40
26,2021-01-02,200,25,40
27,2021-01-02,300,24,41
28,2021-01-02,400,24,41
29,2021-01-02,500,24,42
30,2021-01-02,600,23,43
31,2021-01-02,700,24,42
32,2021-01-02,800,24,41
33,2021-01-02,900,25,40
34,2021-01-02,1000,26,38
35,2021-01-02,1100,27,36
36,2021-01-02,1200,28,35
37,2021-01-02,1300,29,34
38,2021-01-02,1400,29,34
39,2021-01-02,1500,30,34
40,2021-01-02,1600,30,35
41,2021-01-02,1700,30,37
42,2021-01-02,1800,30,38
43,2021-01-02,1900,29,39
44,2021-01-02,2000,29,40
45,2021-01-02,2100,29,42
46,2021-01-02,2200,28,42
47,2021-01-02,2300,28,42
48,2021-01-03,0,27,42
49,2021-01-03,100,27,42
50,2021-01-03,200,26,42
51,2021-01-03,300,26,42
52,2021-01-03,400,25,42
53,2021-01-03,500,25,41
54,2021-01-03,600,24,40
55,2021-01-03,700,25,39
56,2021-01-03,800,26,38
57,2021-01-03,900,26,37
58,2021-01-03,1000,28,36
59,2021-01-03,1100,29,35
60,2021-01-03,1200,30,34
61,2021-01-03,1300,31,34
62,2021-01-03,1400,32,33
63,2021-01-03,1500,32,33
64,2021-01-03,1600,32,34
65,2021-01-03,1700,32,35
66,2021-01-03,1800,32,35
67,2021-01-03,1900,31,37
68,2021-01-03,2000,31,38
69,2021-01-03,2100,30,39
70,2021-01-03,2200,30,41
71,2021-01-03,2300,29,42
72,2021-01-04,0,29,43
73,2021-01-04,100,28,44
74,2021-01-04,200,28,45
75,2021-01-04,300,27,46
76,2021-01-04,400,27,46
77,2021-01-04,500,26,47
78,2021-01-04,600,26,47
79,2021-01-04,700,27,46
80,2021-01-04,800,27,44
81,2021-01-04,900,28,43
82,2021-01-04,1000,29,41
83,2021-01-04,1100,30,39
84,2021-01-04,1200,31,37
85,2021-01-04,1300,32,36
86,2021-01-04,1400,33,35
87,2021-01-04,1500,33,34
88,2021-01-04,1600,33,35
89,2021-01-04,1700,33,36
90,2021-01-04,1800,32,37
91,2021-01-04,1900,32,39
92,2021-01-04,2000,31,40
93,2021-01-04,2100,31,42
94,2021-01-04,2200,30,43
