date,time,temp,rh
1/1/2021,0,25,39
1/1/2021,100,25,39
1/1/2021,200,25,40
1/1/2021,300,24,41
1/1/2021,400,24,42
1/1/2021,500,23,43
1/1/2021,600,23,44
1/1/2021,700,23,44
1/1/2021,800,24,43
1/1/2021,900,24,43
1/1/2021,1000,25,40
1/1/2021,1100,26,38
1/1/2021,1200,27,36
1/1/2021,1300,27,34
1/1/2021,1400,28,32
1/1/2021,1500,29,31
1/1/2021,1600,29,32
1/1/2021,1700,29,33
1/1/2021,1800,28,35
1/1/2021,1900,28,36
1/1/2021,2000,27,38
1/1/2021,2100,27,39
1/1/2021,2200,26,39
1/1/2021,2300,26,39
2/1/2021,0,26,39
2/1/2021,100,25,40
2/1/2021,200,25,40
2/1/2021,300,24,41
2/1/2021,400,24,41
2/1/2021,500,24,42
2/1/2021,600,23,43
2/1/2021,700,24,42
2/1/2021,800,24,41
2/1/2021,900,25,40
2/1/2021,1000,26,38
2/1/2021,1100,27,36
2/1/2021,1200,28,35
2/1/2021,1300,29,34
2/1/2021,1400,29,34
2/1/2021,1500,30,34
2/1/2021,1600,30,35
2/1/2021,1700,30,37
2/1/2021,1800,30,38
2/1/2021,1900,29,39
2/1/2021,2000,29,40
2/1/2021,2100,29,42
2/1/2021,2200,28,42
2/1/2021,2300,28,42
3/1/2021,0,27,42
3/1/2021,100,27,42
3/1/2021,200,26,42
3/1/2021,300,26,42
3/1/2021,400,25,42
3/1/2021,500,25,41
3/1/2021,600,24,40
3/1/2021,700,25,39
3/1/2021,800,26,38
3/1/2021,900,26,37
3/1/2021,1000,28,36
3/1/2021,1100,29,35
3/1/2021,1200,30,34
3/1/2021,1300,31,34
3/1/2021,1400,32,33
3/1/2021,1500,32,33
3/1/2021,1600,32,34
3/1/2021,1700,32,35
3/1/2021,1800,32,35
3/1/2021,1900,31,37
3/1/2021,2000,31,38
3/1/2021,2100,30,39
3/1/2021,2200,30,41
3/1/2021,2300,29,42
4/1/2021,0,29,43
4/1/2021,100,28,44
4/1/2021,200,28,45
4/1/2021,300,27,46
4/1/2021,400,27,46
4/1/2021,500,26,47
4/1/2021,600,26,47
4/1/2021,700,27,46
4/1/2021,800,27,44
4/1/2021,900,28,43
4/1/2021,1000,29,41
4/1/2021,1100,30,39
4/1/2021,1200,31,37
4/1/2021,1300,32,36
4/1/2021,1400,33,35
4/1/2021,1500,33,34
4/1/2021,1600,33,35
4/1/2021,1700,33,36
4/1/2021,1800,32,37
4/1/2021,1900,32,39
4/1/2021,2000,31,40
4/1/2021,2100,31,42
4/1/2021,2200,30,43
4/1/2021,2300,30,45
5/1/2021,0,29,46
5/1/2021,100,29,47
5/1/2021,200,28,47
5/1/2021,300,28,48
5/1/2021,400,27,49
5/1/2021,500,27,50
5/1/2021,600,26,51
5/1/2021,700,27,49
5/1/2021,800,27,47
5/1/2021,900,28,46
5/1/2021,1000,29,43
5/1/2021,1100,31,40
5/1/2021,1200,32,37
5/1/2021,1300,33,36
5/1/2021,1400,33,35
5/1/2021,1500,34,34
5/1/2021,1600,33,36
5/1/2021,1700,33,38
5/1/2021,1800,32,40
5/1/2021,1900,32,43
5/1/2021,2000,31,46
5/1/2021,2100,30,48
5/1/2021,2200,30,47
5/1/2021,2300,31,46
6/1/2021,0,31,46
6/1/2021,100,30,46
6/1/2021,200,30,47
6/1/2021,300,30,47
6/1/2021,400,29,48
6/1/2021,500,29,48
6/1/2021,600,29,49
6/1/2021,700,29,48
6/1/2021,800,30,47
6/1/2021,900,30,46
6/1/2021,1000,31,44
6/1/2021,1100,32,41
6/1/2021,1200,33,39
6/1/2021,1300,33,39
6/1/2021,1400,33,38
6/1/2021,1500,34,37
6/1/2021,1600,33,38
6/1/2021,1700,33,39
6/1/2021,1800,33,40
6/1/2021,1900,33,41
6/1/2021,2000,33,42
6/1/2021,2100,32,43
6/1/2021,2200,32,43
6/1/2021,2300,32,44
7/1/2021,0,31,45
7/1/2021,100,31,47
7/1/2021,200,31,48
7/1/2021,300,30,50
7/1/2021,400,30,50
7/1/2021,500,30,50
7/1/2021,600,29,51
7/1/2021,700,30,49
7/1/2021,800,30,48
7/1/2021,900,30,47
7/1/2021,1000,31,44
7/1/2021,1100,32,42
7/1/2021,1200,33,39
7/1/2021,1300,33,38
7/1/2021,1400,34,36
7/1/2021,1500,35,35
7/1/2021,1600,34,36
7/1/2021,1700,34,36
7/1/2021,1800,34,37
7/1/2021,1900,34,38
7/1/2021,2000,33,39
7/1/2021,2100,33,40
7/1/2021,2200,32,42
7/1/2021,2300,32,43
8/1/2021,0,31,45
8/1/2021,100,30,46
8/1/2021,200,30,47
8/1/2021,300,29,48
8/1/2021,400,29,49
8/1/2021,500,28,50
8/1/2021,600,28,51
8/1/2021,700,28,50
8/1/2021,800,28,49
8/1/2021,900,29,48
8/1/2021,1000,30,45
8/1/2021,1100,31,43
8/1/2021,1200,31,41
8/1/2021,1300,32,39
8/1/2021,1400,33,38
8/1/2021,1500,33,37
8/1/2021,1600,33,38
8/1/2021,1700,33,38
8/1/2021,1800,32,39
8/1/2021,1900,32,40
8/1/2021,2000,31,42
8/1/2021,2100,31,43
8/1/2021,2200,30,44
8/1/2021,2300,29,44
9/1/2021,0,29,45
9/1/2021,100,28,46
9/1/2021,200,27,46
9/1/2021,300,26,47
9/1/2021,400,26,48
9/1/2021,500,25,48
9/1/2021,600,24,49
9/1/2021,700,24,48
9/1/2021,800,25,47
9/1/2021,900,25,46
9/1/2021,1000,26,44
9/1/2021,1100,27,42
9/1/2021,1200,29,40
